,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method
593,SS_H,Lasso,4,0.5037982112365638,0.10800980287918,0.1378772178671129,0.4159377756952379,0.1147387159782772,0.1477865006548084,0.6519377799991469,0.5835299070912945,1138,mean
594,SS_H,Lasso,5,0.5068054351836242,0.1069155797284874,0.1366971986677698,0.4126408296996726,0.1176836976779668,0.1515458566219168,0.6575305188844438,0.586052813392673,1158,mean
595,SS_H,Lasso,1,0.0143053119333341,0.1482777432541472,0.19437080316167,0.0118888835013165,0.1454118885985722,0.1920896521413369,0.1441502058598004,0.1217469721485057,68,iDCT4
596,SS_H,Lasso,2,0.0292637811758562,0.1467616336585997,0.1927526152531714,0.0058342548074822,0.1478709738906474,0.1932218761132914,0.1882509030015608,0.0849426505022292,146,iDCT4
597,SS_H,Lasso,3,0.0255140724600048,0.1463591308778026,0.1920629638273597,0.0120858851331234,0.1504792674941331,0.1968808539252427,0.1810385338800519,0.1137543436863907,128,iDCT4
598,SS_H,Lasso,4,0.0275617160553548,0.1472805878171475,0.1930164718329432,0.0091351577984484,0.146910056780142,0.192491880996476,0.1845563480123868,0.1013248513658862,146,iDCT4
599,SS_H,Lasso,5,0.0221044824661241,0.1466314900655293,0.1924849158124855,0.0060646076376054,0.150253500411725,0.1971384183063787,0.1697742373288981,0.075684879246363,104,iDCT4
600,SS_H,Lasso,1,0.0108440972074302,0.1486200001930438,0.1947117654999517,0.0083261135866874,0.1455880611384677,0.1924356433123979,0.1219487811999849,0.0956831998760418,42,iDCT3
601,SS_H,Lasso,2,0.0204795857132317,0.1474783856316448,0.1936227607460469,0.0015961345035433,0.1481260058211703,0.1936332897418564,0.1553708696195306,0.0627492531871984,98,iDCT3
602,SS_H,Lasso,3,0.0132572287557543,0.1471705760368668,0.1932670497841105,0.0073797301557573,0.1509547069619696,0.1973492402742258,0.1340074706230921,0.0895191532095185,63,iDCT3
603,SS_H,Lasso,4,0.0137049523252557,0.148228041411727,0.1943868020134785,0.0048950216742061,0.1470911904219856,0.1929032996073635,0.1331757157330807,0.0838768532426116,63,iDCT3
604,SS_H,Lasso,5,0.0125416894295192,0.1473629076532657,0.1934237764759233,0.0045801065186005,0.1503558437407608,0.1972855823036662,0.1278759856202769,0.0672945601610001,43,iDCT3
605,SS_H,Lasso,1,0.0092800945155564,0.1489004590739925,0.1948656388392759,0.0044748269174833,0.1458322095224562,0.1928089548766055,0.0679325483295168,0.0466514615330009,36,rbf2
606,SS_H,Lasso,2,0.0076030337401442,0.1484175243112911,0.1948912658151089,0.006639966014451,0.1478964913224704,0.1931435629210133,0.0636662756522953,0.0645432642640972,24,rbf2
607,SS_H,Lasso,3,0.0096174840769004,0.1476589828271396,0.1936231685429179,0.0022817594075837,0.1513456118036618,0.1978553714785818,0.0718611333241483,0.0353633146840838,32,rbf2
608,SS_H,Lasso,4,0.0081379633880402,0.1487603692792184,0.1949346231079697,0.0029272728957094,0.1475530139807587,0.1930939316387017,0.0659577625266212,0.0279680975847511,25,rbf2
609,SS_H,Lasso,5,0.0182861276815683,0.1471217903271942,0.1928603442835473,-0.0003388157223975,0.1505955578065168,0.1977724303848793,0.1041548855023701,0.0396528201151695,83,rbf2
610,SS_H,Lasso,1,0.0113874523915816,0.1485542424737132,0.1946582794014148,0.0048509445203821,0.1458923908432193,0.1927725290308636,0.1200412747537461,0.0687605809632197,54,iDCT1
611,SS_H,Lasso,2,0.0104561037263861,0.1481130609852367,0.1946109149786336,0.002951684860054,0.1480198378248331,0.1935017954448799,0.1139379580414927,0.0630914966297453,47,iDCT1
612,SS_H,Lasso,3,0.010920764927612,0.1474218838797922,0.1934957286719247,0.0071920971017187,0.1508959178774223,0.1973678916619034,0.1150514618026425,0.0926565058341099,54,iDCT1
613,SS_H,Lasso,4,0.0093242593273253,0.1485252220257337,0.1948180144818988,0.0048006024702322,0.1471475034755507,0.1929124510759837,0.1068044254767967,0.0776545947636159,47,iDCT1
614,SS_H,Lasso,5,0.0139195885710025,0.1472855832596536,0.1932887776144166,-0.0005407706893643,0.1508073374845442,0.1977923931756493,0.1275327692995553,0.0408535696070346,66,iDCT1
615,SS_H,Lasso,1,0.0166167229353667,0.1483693795495405,0.1941427738805375,-0.0003037502726268,0.1460550567706398,0.193271147851891,0.1105228233703086,0.0315986982611606,91,sigmoid2
616,SS_H,Lasso,2,0.0105782321816024,0.148168189935654,0.1945989052719949,0.0045659757565074,0.1480140809467078,0.1933450855236915,0.0924305754242558,0.0475426310168705,50,sigmoid2
617,SS_H,Lasso,3,0.012383911724159,0.1474757100720702,0.1933525564035682,0.0029945525946867,0.1512887197440052,0.1977846826042794,0.0955291437423891,0.0399476985133877,66,sigmoid2
618,SS_H,Lasso,4,0.0141207096584415,0.1483726282879287,0.1943458273288429,0.0017568670685736,0.1472808930267028,0.1932072292818763,0.0994747210424863,0.0537817380923833,82,sigmoid2
619,SS_H,Lasso,5,0.0093253699827977,0.1476556738633843,0.1937385274323803,0.0038893045239067,0.150607554008374,0.1973540266044293,0.0934443938188882,0.0355200642976369,49,sigmoid2
620,SS_H,Lasso,1,0.0099193098390715,0.1487650065775518,0.1948027647615662,-0.0001709388334731,0.146104192939141,0.1932583170135804,0.0971418568431652,0.0250786189791652,67,pca1
621,SS_H,Lasso,2,0.005968665411476,0.1483061175935929,0.1950516820031701,0.0027642218856339,0.1482078997099611,0.1935199854947895,0.0888120629709626,0.0351212072518817,34,pca1
622,SS_H,Lasso,3,0.004333149530896,0.1478638654420632,0.1941390340758176,0.0015932814616965,0.1512853402637141,0.1979236250008322,0.066558593174422,0.0419510686357968,25,pca1
623,SS_H,Lasso,4,0.011282088164229,0.1484244829881837,0.1946254141468338,0.0013572426992084,0.1473420535899496,0.1932458985142512,0.1027843417158732,0.038712494109527,77,pca1
624,SS_H,Lasso,5,0.0093219667924353,0.1476227002580065,0.1937388601998214,0.0036506575678868,0.1503283956155438,0.1973776661042073,0.0981680747064588,0.0448281971471236,74,pca1
625,SS_H,Lasso,1,0.5274795496010549,0.1055106101548318,0.1345767778287919,0.411836972298174,0.1154812927597402,0.1482005918223651,0.6665715547056873,0.5770956068530565,1401,bos
626,SS_H,Lasso,2,0.5406470068283085,0.1039150224208345,0.1325937146522479,0.3989013420992416,0.1166239752889558,0.1502449128906312,0.674357121662899,0.5786189443729028,1533,bos
627,SS_H,Lasso,3,0.5260544980038769,0.1052199702846148,0.1339430066533837,0.4258517791185021,0.1170593299332077,0.1500914318809444,0.6635051854821311,0.596112254956729,1419,bos
628,SS_H,Lasso,4,0.5339488398649683,0.1047779906078332,0.1336226699987075,0.4290336114578006,0.1140104990929763,0.1461202741579468,0.67049238150145,0.5910245717915391,1573,bos
629,SS_H,Lasso,5,0.5316980084407525,0.1045830217818843,0.1332028374335599,0.4292529844531868,0.1164373143256779,0.1493874158274434,0.6695942446367055,0.589805493344857,1482,bos
630,SS_E,Lasso,1,0.0107007135461919,0.1193445933773669,0.1500959180207629,0.0072405787844115,0.1179887019622138,0.1484640601156952,0.1111612983579511,0.0845939160969533,69,pca2
631,SS_E,Lasso,2,0.0165847051185707,0.1190021176256641,0.1495849484852743,0.0053019330284839,0.1177215114591755,0.148864795069135,0.1334488328762391,0.066515695038292,119,pca2
632,SS_E,Lasso,3,0.0152018702455103,0.1185041652574368,0.14922110657379,0.0015022346934431,0.1204215627977446,0.1510469779824198,0.1309185453270476,0.0356177962139883,107,pca2
633,SS_E,Lasso,4,0.0167324142051605,0.1185057782652278,0.1491038935602021,0.0040013614937018,0.1198014143035907,0.1508627596857214,0.1396476320268128,0.0608611072991555,125,pca2
634,SS_E,Lasso,5,0.0144835912793899,0.1184111375214281,0.1490607992693581,0.0030898608240231,0.121027374793797,0.1517802657305281,0.1255215237727845,0.0579145248173455,99,pca2
635,SS_E,Lasso,1,0.0137456138955882,0.119129017292516,0.1498647547493106,0.0071266333571238,0.1178941431947245,0.1484725799620046,0.1240288460321693,0.0819222530934181,61,iDCT2
636,SS_E,Lasso,2,0.0144480241046665,0.1190727470369139,0.1497473630323961,0.0041721459395814,0.1178079077516828,0.1489493120695623,0.1292740886409361,0.0604991523933537,59,iDCT2
637,SS_E,Lasso,3,0.0140719552168881,0.1185888233087796,0.1493066869736624,0.0027380884659957,0.1201775400619791,0.1509534726279651,0.1244810468885344,0.059268228548851,53,iDCT2
638,SS_E,Lasso,4,0.0121618289917038,0.118741001450274,0.149450036329792,0.0084240064176646,0.1196983781009622,0.1505274405817817,0.1203211101503334,0.0902686338966694,45,iDCT2
639,SS_E,Lasso,5,0.0111252358447251,0.118569068490972,0.1493145613537117,0.0111209677920072,0.1204812866499956,0.1511676586194454,0.1141746385682648,0.1172634911426395,61,iDCT2
640,SS_E,Lasso,1,0.0254834627387681,0.1184155877559462,0.1489702821018556,0.0092528315813668,0.1177096864797465,0.1483135207441759,0.1711929592924643,0.0881954124457662,143,iDCT5
641,SS_E,Lasso,2,0.0286330145125559,0.1182476877954109,0.1486658048248784,0.0074866894719155,0.1175512439594778,0.1487012217632381,0.1821772961754969,0.0856234005153442,159,iDCT5
642,SS_E,Lasso,3,0.0302753509391012,0.1175503161617609,0.1480747016026705,0.0065739674133,0.1200550614181167,0.1506628783918352,0.1875209622682426,0.0822822302031947,187,iDCT5
643,SS_E,Lasso,4,0.0279772157159678,0.1177902585807387,0.148248854245788,0.0096873286912972,0.11972859051407,0.1504315199068236,0.1840887441784265,0.0924090516284627,160,iDCT5
644,SS_E,Lasso,5,0.0248556120265256,0.1176909953923597,0.1482743328543702,0.0157889669777693,0.1200885914372234,0.150810443423903,0.1757449651853972,0.1240252857672593,164,iDCT5
645,SS_E,Lasso,1,0.3671686221884773,0.094349838746489,0.120046370997565,0.2716532504937136,0.0991688708412566,0.1271652407564895,0.5910977786469832,0.5021316721238349,929,maxPool
646,SS_E,Lasso,2,0.3748391234592393,0.0937130323064408,0.1192656316658151,0.2727212592671204,0.0994680556786167,0.1272907406037998,0.5956770064280478,0.5058262375905903,1076,maxPool
647,SS_E,Lasso,3,0.3811407919481366,0.0929487082883702,0.1182912380752376,0.2794132540500741,0.1006095017795074,0.128316240524288,0.6019195129944701,0.5088266630670236,1130,maxPool
648,SS_E,Lasso,4,0.3708684436948434,0.0937577068708402,0.119267978331139,0.2796634716745871,0.1006316270939841,0.1282981501816991,0.5937827793421312,0.5089107082725149,1018,maxPool
649,SS_E,Lasso,5,0.3766428678701495,0.0933720295295278,0.1185495697663562,0.2865917844486915,0.1001330617980506,0.1283974372377923,0.597109444057589,0.5205103666575522,1084,maxPool
