,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,dataset_size,group,prot_length
3213,B3VI55 LIPST,iDCT2,esm2_150M,4,58,0.1368610402942076,0.2224032822970525,0.2993308541487936,0.4025660242339478,0.1246584848142711,0.2273561308393822,0.3085647483930342,0.3640397436954157,8067,Growth,439
3214,B3VI55 LIPST,iDCT2,esm2_150M,5,42,0.1143522877465313,0.2258938543735359,0.3063842737289444,0.386690970069859,0.1011831950021654,0.225482352475603,0.2998683544176724,0.3474883038022034,8067,Growth,439
3215,B3VI55 LIPSTSTABLE,bos,esm2_150M,1,25,0.0903351507787514,0.4059911319830567,0.4923973720030514,0.3594305863237395,0.0972667768145713,0.4093503422258567,0.4908327708148772,0.3768797636906942,8329,Growth,447
3216,B3VI55 LIPSTSTABLE,bos,esm2_150M,2,23,0.0937531995446206,0.4055457251598433,0.4899514972920624,0.3621256027895005,0.0970311641394277,0.4063472726299839,0.4972744960176736,0.3888033883291665,8329,Growth,447
3217,B3VI55 LIPSTSTABLE,bos,esm2_150M,3,27,0.0979005132728677,0.4042107851885217,0.4890522069865566,0.3761230495431311,0.0871777635971096,0.4112652869176463,0.4991701521398824,0.3481492007558852,8329,Growth,447
3218,B3VI55 LIPSTSTABLE,bos,esm2_150M,4,22,0.1019097422505647,0.4043210718685919,0.4911459947734993,0.3795237765144036,0.0882900000730373,0.4049635225977216,0.4860262434943692,0.3346103534474756,8329,Growth,447
3219,B3VI55 LIPSTSTABLE,bos,esm2_150M,5,24,0.0949714221406128,0.406974726999822,0.4927673669244519,0.3586760752694261,0.0763634650456714,0.4029275568549124,0.4900976893566764,0.3322239716064509,8329,Growth,447
3220,BLAT ECOLX 2012,pca1,esm2_150M,1,51,0.2237546744693125,1.203908061975658,1.415105053219597,0.5648748704126217,0.1950309093348683,1.1939997989379056,1.421639994412801,0.5369563183135703,5259,Growth,286
3221,BLAT ECOLX 2012,pca1,esm2_150M,2,50,0.2322368746497913,1.195704281663785,1.4102752267978158,0.5752919233778265,0.2113680415899925,1.1885786450684943,1.3954303263382863,0.5336722177338489,5259,Growth,286
3222,BLAT ECOLX 2012,pca1,esm2_150M,3,23,0.1303104949761401,1.2676859452502718,1.490233288795184,0.4644703834820403,0.1105750831005019,1.3049023014108971,1.5223359510969914,0.4072425851027474,5259,Growth,286
