,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
9,BRCA1_HUMAN_BRCT,Lasso,10,0.0128611956678045,0.6511407549790016,0.8355194513667671,0.007003516782679,0.6602195812037651,0.8584228970924371,0.0908871761271051,0.0848833057422014,22,pca2
0,BRCA1_HUMAN_BRCT,Lasso,1,-4.440892098500626e-16,0.6688468066414841,0.851294484410695,-0.0086604206637066,0.5845637569275909,0.7655461757665445,,,0,sigmoid1
1,BRCA1_HUMAN_BRCT,Lasso,2,-1.5543122344752194e-15,0.6517568131631812,0.8413131473240869,-0.0006643992938892,0.7037694429481034,0.8583854851224347,,,0,sigmoid1
2,BRCA1_HUMAN_BRCT,Lasso,3,-1.5543122344752194e-15,0.6615956025816475,0.8463091230228661,-0.0004601857602,0.6297476079399997,0.8130188768297817,,,0,sigmoid1
3,BRCA1_HUMAN_BRCT,Lasso,4,0.0,0.6607280240538302,0.8403484075646313,-5.40851410568699e-06,0.6305258847250299,0.8669354199544126,,,0,sigmoid1
4,BRCA1_HUMAN_BRCT,Lasso,5,0.0,0.6528064782108604,0.8371886639359158,-0.000801183818144,0.6935351516172354,0.8940980131674438,,,0,sigmoid1
5,BRCA1_HUMAN_BRCT,Lasso,6,-6.661338147750939e-16,0.6506549524230908,0.8364093756294728,-0.0015568416988378,0.7092482497810583,0.9006815885877996,,,0,sigmoid1
6,BRCA1_HUMAN_BRCT,Lasso,7,-1.7763568394002505e-15,0.6525642414689161,0.8405688671231604,-0.0002071682360769,0.7093332714164574,0.8650158107110449,,,0,sigmoid1
7,BRCA1_HUMAN_BRCT,Lasso,8,-2.886579864025407e-15,0.6620974415251688,0.8492620177685617,-7.044781294207603e-05,0.6212912092222552,0.7847612743515479,,,0,sigmoid1
8,BRCA1_HUMAN_BRCT,Lasso,9,0.0,0.6604599148354227,0.8465945055924107,-1.1946866185219562e-07,0.6335672376094719,0.8103179887542974,,,0,sigmoid1
9,BRCA1_HUMAN_BRCT,Lasso,10,-4.440892098500626e-16,0.656295834357067,0.8409447290603057,-0.0006794128509208,0.6631117284557144,0.8617373574032129,,,0,sigmoid1
0,BRCA1_HUMAN_BRCT,Lasso,1,-4.440892098500626e-16,0.6688468066414841,0.851294484410695,-0.0086604206637066,0.5845637569275909,0.7655461757665445,,,0,iDCT
1,BRCA1_HUMAN_BRCT,Lasso,2,-1.5543122344752194e-15,0.6517568131631812,0.8413131473240869,-0.0006643992938892,0.7037694429481034,0.8583854851224347,,,0,iDCT
2,BRCA1_HUMAN_BRCT,Lasso,3,-1.5543122344752194e-15,0.6615956025816475,0.8463091230228661,-0.0004601857602,0.6297476079399997,0.8130188768297817,,,0,iDCT
3,BRCA1_HUMAN_BRCT,Lasso,4,0.0,0.6607280240538302,0.8403484075646313,-5.40851410568699e-06,0.6305258847250299,0.8669354199544126,,,0,iDCT
4,BRCA1_HUMAN_BRCT,Lasso,5,0.0,0.6528064782108604,0.8371886639359158,-0.000801183818144,0.6935351516172354,0.8940980131674438,,,0,iDCT
5,BRCA1_HUMAN_BRCT,Lasso,6,-6.661338147750939e-16,0.6506549524230908,0.8364093756294728,-0.0015568416988378,0.7092482497810583,0.9006815885877996,,,0,iDCT
6,BRCA1_HUMAN_BRCT,Lasso,7,-1.7763568394002505e-15,0.6525642414689161,0.8405688671231604,-0.0002071682360769,0.7093332714164574,0.8650158107110449,,,0,iDCT
7,BRCA1_HUMAN_BRCT,Lasso,8,-2.886579864025407e-15,0.6620974415251688,0.8492620177685617,-7.044781294207603e-05,0.6212912092222552,0.7847612743515479,,,0,iDCT
8,BRCA1_HUMAN_BRCT,Lasso,9,0.0,0.6604599148354227,0.8465945055924107,-1.1946866185219562e-07,0.6335672376094719,0.8103179887542974,,,0,iDCT
9,BRCA1_HUMAN_BRCT,Lasso,10,-4.440892098500626e-16,0.656295834357067,0.8409447290603057,-0.0006794128509208,0.6631117284557144,0.8617373574032129,,,0,iDCT
0,BRCA1_HUMAN_BRCT,Lasso,1,0.007082093057609,0.6655466100449258,0.8482746548531069,-0.0156368667386384,0.5843430370363464,0.7681890813202557,0.0856405093900042,0.0680614054533362,10,rbf1
