,Unnamed: 0,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
557,557,Instability index,Lasso,3,0.1888944766763289,7.573208516790313,9.88971702693336,0.1385304149489533,7.9590017555011485,10.380315180374753,0.4254037406860702,0.3580391508246359,574,iDCT3
558,558,Instability index,Lasso,4,0.1936591960141854,7.577149456065344,9.884940971893014,0.1373950754018987,7.866472245805983,10.285980008670473,0.4305830374967888,0.3596245881325914,614,iDCT3
559,559,Instability index,Lasso,5,0.1954316916131923,7.650547522976741,9.99256128113998,0.135197159611077,7.523518092527816,9.797577700820762,0.4315925884018522,0.3509715786418361,608,iDCT3
560,560,Instability index,Lasso,1,0.4549491089930509,6.216453662355681,8.114881101094955,0.4043909022840539,6.544002729592354,8.599090212779908,0.6546426061092533,0.6300352730059872,535,bos
561,561,Instability index,Lasso,2,0.452905363409792,6.218975609891857,8.12719923496444,0.4173213382448877,6.497550540329286,8.516016350862683,0.6564454995597561,0.6261879716437145,542,bos
562,562,Instability index,Lasso,3,0.4484313222676369,6.224192137813836,8.155394684733674,0.434266222108352,6.466469617691024,8.411948800662099,0.6533222299949686,0.6396723836993693,526,bos
563,563,Instability index,Lasso,4,0.4510104783170152,6.238105796133621,8.156367571033293,0.4216250578353075,6.4093022206602415,8.42256640757254,0.6564639354057853,0.6273298264287293,535,bos
564,564,Instability index,Lasso,5,0.4524912769750092,6.302943800059737,8.243105928418599,0.4117772697651491,6.223848340337019,8.08036658473109,0.6544037503944764,0.6279308053870825,517,bos
565,565,Instability index,Lasso,1,0.1503778701377837,7.654735828771503,10.13156516005614,0.1093102133875453,7.970889991380182,10.515624749933275,0.3979082952746614,0.3444578851228895,498,pca1-2
566,566,Instability index,Lasso,2,0.1557921546362896,7.620349691159411,10.095651949466983,0.1017168633214595,8.027880841095387,10.57373819190021,0.4088008343664878,0.3207812723610617,505,pca1-2
567,567,Instability index,Lasso,3,0.145703177853076,7.677206113563161,10.14961529687112,0.1177742728795055,7.935763910230646,10.5046218969584,0.3930819132519467,0.3546912436305798,473,pca1-2
568,568,Instability index,Lasso,4,0.1550974121159859,7.654518295359658,10.118545333102034,0.1043799241427057,7.898739647403574,10.48097341281495,0.4050770116175232,0.3365451472248399,509,pca1-2
569,569,Instability index,Lasso,5,0.1426418612310133,7.796781134631116,10.315172542310952,0.1148157149401385,7.521654907746487,9.912358717283158,0.3909869069795198,0.3399700776328427,436,pca1-2
570,570,Instability index,Lasso,1,0.555419186245297,5.600894977760027,7.328903311687997,0.5068770702858287,5.939988414882868,7.824371136966683,0.7180195985640674,0.7004380322592106,496,mean
571,571,Instability index,Lasso,2,0.5533601418696728,5.606261497437504,7.343251729966491,0.5188705775906812,5.885886062431212,7.738430519610594,0.7208692847490608,0.6902614600091409,498,mean
572,572,Instability index,Lasso,3,0.5477100731631058,5.636684162710822,7.385053463681364,0.5409207286342774,5.7604888530021245,7.5776476565892015,0.7166073780146478,0.7086272014020847,511,mean
573,573,Instability index,Lasso,4,0.5488938710617142,5.647214360964152,7.393568917675666,0.5367012802589236,5.72671267355005,7.538245191660084,0.7163744636318137,0.7069207820474345,496,mean
