,Model,Fold,Accuracy_train,Recall_train,Precision_train,F1_score_train,Accuracy_test,Recall_test,Precision_test,F1_score_test,class_0_non_zero_coef,class_1_non_zero_coef,class_2_non_zero_coef,class_3_non_zero_coef,class_4_non_zero_coef,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,Compression_methd
9,LogR,10,0.8461057892544773,0.7718629832527198,0.8490749225183978,0.8023084821077985,0.699812382739212,0.5750737729970619,0.632280914487811,0.5907483018344808,535,468,473,571,526,0.6385542168674698,0.3076923076923077,0.2978723404255319,0.75,0.88125,pca1
0,LogR,1,0.9291814205373881,0.890803453635684,0.9365410203128615,0.9113403826205306,0.7883895131086143,0.6998711434350072,0.7596889265099269,0.7229380138837629,490,440,465,533,441,0.6595744680851063,0.5128205128205128,0.5490196078431373,0.8715083798882681,0.9064327485380117,maxPool
1,LogR,2,0.924182461987086,0.8868956791901674,0.9305432048791623,0.9066219863665104,0.8146067415730337,0.6863165938013158,0.7435755415278263,0.7050816428004995,475,467,473,532,461,0.7766990291262136,0.2702702702702703,0.5434782608695652,0.8950276243093923,0.9461077844311377,maxPool
2,LogR,3,0.9245990418662778,0.888772361590757,0.9288613726789645,0.9069897509354037,0.8277153558052435,0.7390142898281915,0.7666001884624818,0.7510867070423675,488,442,459,545,445,0.7524752475247525,0.4594594594594595,0.6595744680851063,0.888268156424581,0.9352941176470588,maxPool
3,LogR,4,0.9252239116850656,0.8857235692471741,0.9318416836586753,0.9063907914833503,0.8108614232209738,0.7081306206693203,0.7663271399120456,0.7267425031529917,490,455,461,539,439,0.8235294117647058,0.38095238095238093,0.5294117647058824,0.8725490196078431,0.9342105263157895,maxPool
4,LogR,5,0.9252239116850656,0.8884379835129984,0.9312630766767305,0.9077052217780507,0.8089887640449438,0.6720022018905888,0.7232797903850535,0.6872022819988481,479,465,456,528,444,0.75,0.3,0.47619047619047616,0.8967136150234741,0.9371069182389937,maxPool
5,LogR,6,0.9254477301124532,0.886812147914276,0.9293190407190253,0.905842154264251,0.8273921200750469,0.7175274396031301,0.7436542846118769,0.7286753596966407,479,477,456,548,451,0.7764705882352941,0.4827586206896552,0.5227272727272727,0.8730964467005076,0.9325842696629213,maxPool
6,LogR,7,0.9283631820074969,0.8871807289002426,0.9348685303694589,0.9083378903906343,0.7804878048780488,0.6948630366351887,0.7640469425089079,0.7202553864307366,502,452,466,537,440,0.6555555555555556,0.525,0.5178571428571429,0.8518518518518519,0.9240506329113924,maxPool
7,LogR,8,0.9264889629321116,0.8889388072217053,0.9322733611121622,0.9085021553239141,0.7879924953095685,0.6721180350599048,0.7425948358466481,0.6930901807829096,485,460,450,541,448,0.7244897959183674,0.4,0.4,0.8743169398907104,0.9617834394904459,maxPool
8,LogR,9,0.9262807163681799,0.888821904631153,0.9347847241036777,0.9093429467548029,0.8086303939962477,0.7102004067445418,0.7406525660459357,0.7194355923505462,477,445,477,545,450,0.7272727272727273,0.5142857142857142,0.5263157894736842,0.820627802690583,0.9625,maxPool
9,LogR,10,0.9298209079550187,0.8936738823525637,0.9384562433873771,0.9138157698447102,0.797373358348968,0.6807795589791533,0.7303928073334868,0.7003062353943303,490,451,453,545,437,0.6506024096385542,0.358974358974359,0.574468085106383,0.8823529411764706,0.9375,maxPool
0,LogR,1,0.9075192668194126,0.8460302068911055,0.8976785260615052,0.8676826315055639,0.8220973782771536,0.7280084412544533,0.7898009679239024,0.7515395038634083,385,328,349,437,356,0.723404255319149,0.48717948717948717,0.5882352941176471,0.8938547486033519,0.9473684210526315,bos
1,LogR,2,0.9137679650072902,0.859823409588848,0.9103038780075703,0.8813319339269409,0.8089887640449438,0.6749705905640576,0.7444901731385629,0.6967356988119381,399,335,348,432,355,0.7475728155339806,0.2972972972972973,0.4782608695652174,0.9116022099447514,0.9401197604790419,bos
2,LogR,3,0.9071026869402208,0.8488489717507948,0.9024397250576992,0.871264869209426,0.8408239700374532,0.7526213104962775,0.786166348567118,0.7659606935728727,385,334,349,438,363,0.7821782178217822,0.4594594594594595,0.6808510638297872,0.8994413407821229,0.9411764705882353,bos
3,LogR,4,0.9087690064569881,0.8531884574372958,0.9033183181547813,0.8748428169869007,0.8089887640449438,0.69437490785788,0.7635064473051829,0.7145039477462185,391,317,345,445,354,0.788235294117647,0.35714285714285715,0.49019607843137253,0.8823529411764706,0.9539473684210527,bos
4,LogR,5,0.90918558633618,0.8495851765294731,0.8997614626082171,0.8706868422493624,0.8576779026217228,0.7841745124837074,0.8047461259930137,0.7920078155193885,392,345,356,436,348,0.6875,0.6,0.7619047619047619,0.9154929577464789,0.9559748427672956,bos
5,LogR,6,0.9079550187421908,0.8532521514808827,0.9000126138958358,0.8734098335927214,0.8424015009380863,0.7081744711132377,0.7453578702505383,0.7209771651584507,395,338,357,432,359,0.8588235294117647,0.3448275862068966,0.5,0.8934010152284264,0.9438202247191011,bos
6,LogR,7,0.9112869637650979,0.8556746461845173,0.9030274735592568,0.8756043617233994,0.801125703564728,0.7050401848503114,0.7521212218701241,0.7234148240882219,384,340,333,436,338,0.6888888888888889,0.475,0.5357142857142857,0.8888888888888888,0.9367088607594937,bos
7,LogR,8,0.9110787172011662,0.8549697752612708,0.9070957147599324,0.8770576877253422,0.8255159474671669,0.7364680005029055,0.784491609894777,0.7543731473879112,393,327,361,439,356,0.7959183673469388,0.4666666666666667,0.58,0.8907103825136612,0.9490445859872612,bos
8,LogR,9,0.9112869637650979,0.8576391606699962,0.9049971662658015,0.877474379259481,0.8292682926829268,0.7073372140604263,0.7481688380367866,0.7219344460549806,392,339,353,449,363,0.7922077922077922,0.34285714285714286,0.5789473684210527,0.8789237668161435,0.94375,bos
