,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test
1,PCP_length,mean,esm1v_650M,2,1072,0.9281753104129729,28.104074665305685,39.77986878427871,0.9695495049360682,0.911900238849163,29.84948287545953,42.35322326456857,0.9629951020645408
2,PCP_length,mean,esm1v_650M,3,1074,0.9273725634953685,28.06098168961108,39.745698973984936,0.969580858956308,0.9161024622797916,29.994933450224583,42.469387415635225,0.9644053594701852
3,PCP_length,mean,esm1v_650M,4,1087,0.9272316903652096,28.058058126028797,39.65947308832693,0.969009487748541,0.9169685764509256,29.68291089204151,42.772401186588574,0.9674040913510572
4,PCP_length,mean,esm1v_650M,5,1103,0.9266309616854462,27.872253713305454,39.58414369982162,0.9694277725907512,0.9181746441359486,30.18982073446788,43.44214341271666,0.9667909447052284
0,PCP_mW_kDa,mean,esm1v_650M,1,1062,0.9260899945017802,3.1365838822625385,4.4514613647498695,0.9689552465966697,0.9170688950265884,3.332360339630568,4.694042781419748,0.9630829654709316
1,PCP_mW_kDa,mean,esm1v_650M,2,1074,0.92746674031609,3.136751062970288,4.437874004202426,0.9689519195830628,0.9108585429839254,3.332791118543673,4.73730913863539,0.9621224857070356
2,PCP_mW_kDa,mean,esm1v_650M,3,1087,0.9266774223437324,3.1295062677269483,4.434069182482501,0.9689953877381332,0.9151952321063144,3.3512621536073897,4.744792610889697,0.9637385230487232
3,PCP_mW_kDa,mean,esm1v_650M,4,1084,0.926503557354831,3.1317996020026064,4.42747288930152,0.9683889483302308,0.9162694441674936,3.315741023462035,4.764045987996808,0.9664996446112004
4,PCP_mW_kDa,mean,esm1v_650M,5,1100,0.9259428973304198,3.111974709671017,4.41829386096755,0.9687452388653808,0.9174133737815916,3.3662999027228344,4.838649833733827,0.9662828178292816
0,PCP_AAfreq_Leu,mean,esm1v_650M,1,1124,0.9372862711476292,0.0056088644579567,0.0072464575087671,0.964024986091373,0.9217293076092344,0.0061649305749816,0.0080643456476948,0.9543205771992974
1,PCP_AAfreq_Leu,mean,esm1v_650M,2,1140,0.9364340816610895,0.0056386035432598,0.007298297364063,0.9633534937430468,0.925482112768986,0.0060498440079923,0.0078551887530083,0.9567756775691508
2,PCP_AAfreq_Leu,mean,esm1v_650M,3,1124,0.9357538721893548,0.0056618238389267,0.0073215894488876,0.9627930723991518,0.9275315017319604,0.0059800339728107,0.0078132478193502,0.958979406953905
3,PCP_AAfreq_Leu,mean,esm1v_650M,4,1130,0.9363774405021432,0.0056490331435079,0.0073273894769221,0.9633743709642884,0.9259629090154412,0.0059986470296258,0.0077170328236582,0.9565144619688836
4,PCP_AAfreq_Leu,mean,esm1v_650M,5,1127,0.9358670016348192,0.0056486161993249,0.0072811378914193,0.9629805367942624,0.9268665723975956,0.0060928750932934,0.0079929394847884,0.9584317096665346
0,PCP_AAfreq_Cys,mean,esm1v_650M,1,1129,0.9073704239630024,0.0036861045981141,0.0049589182387653,0.8957077012336209,0.8894458804148639,0.0039966963006552,0.0054381713069795,0.8814258278378262
1,PCP_AAfreq_Cys,mean,esm1v_650M,2,1134,0.9089110528058268,0.0037049796124826,0.004974496440774,0.8946338171463661,0.8829234651452587,0.0039566770252809,0.0053311350030626,0.8832273142049735
