,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,Dataset
1,Lasso,2,0.8467000293801291,0.3584404619245797,0.4511591183798334,0.7272284931268604,0.4714102829065533,0.597575043232767,0.9083383375620174,0.8571235130650167,944,iDCT2,BLAT_Ran
2,Lasso,3,0.8489626133184895,0.3557102970224069,0.4483081408332752,0.7429578924480389,0.4541465623623267,0.5745011108507373,0.9087235831426054,0.8516312672266504,950,iDCT2,BLAT_Ran
3,Lasso,4,0.8491543311287366,0.3561121529038181,0.4480582560511762,0.7382044262544047,0.4547581257764484,0.5793219021614672,0.9092712185102244,0.8514550490427377,924,iDCT2,BLAT_Ran
4,Lasso,5,0.8479733010028008,0.3562065564630011,0.4481272499516306,0.7568855883608482,0.4546385159753744,0.5769166420124009,0.9097528242028752,0.8638375542786263,946,iDCT2,BLAT_Ran
5,Lasso,6,0.8469417450754257,0.3585447264141826,0.4511475201185896,0.7607781470748771,0.4330849510680037,0.5558785405887614,0.9079473801846504,0.8618775275101099,947,iDCT2,BLAT_Ran
6,Lasso,7,0.8474142141108966,0.3579529262516635,0.4510264376373137,0.7491775587850741,0.4468339240822152,0.5612686889290224,0.9089582496565616,0.855208027022914,936,iDCT2,BLAT_Ran
7,Lasso,8,0.8474572902520838,0.357631442554317,0.4495579297589925,0.7377701751966057,0.4698587613516405,0.5919518526792975,0.908148905150263,0.8622529746000932,944,iDCT2,BLAT_Ran
8,Lasso,9,0.8484440604108567,0.3551589852633634,0.4472366115569413,0.7341890859889748,0.4708451839673455,0.6050336790822947,0.9085229691368206,0.8581833687093398,929,iDCT2,BLAT_Ran
9,Lasso,10,0.8477366301507986,0.3551817816706368,0.4483904206233182,0.738776881494542,0.4703072914994837,0.5994314817110225,0.9084844438631982,0.8672363248723067,943,iDCT2,BLAT_Ran
0,Lasso,1,0.7146246654181398,0.1643542534522606,0.209248740266371,0.713266720594899,0.166194275602287,0.2090185831049936,0.8799033815723306,0.873649532608586,265,mean,PABP_doubles
1,Lasso,2,0.7160894109293061,0.1643450788688538,0.2086693028635944,0.7108968619468166,0.163026756426863,0.2102525050638044,0.880070663747904,0.8808235311199907,269,mean,PABP_doubles
