,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test
4,PABP_YEAST_Fields2013_doubles,mean,8M,5,289,0.6623788992029678,0.1787500859842003,0.2278075101278732,0.8456639880318371,0.6449660546028921,0.1824708226435025,0.2321187438204224,0.8339137772231721
0,PABP_YEAST_Fields2013_doubles,mean,650M,1,702,0.781743119660059,0.1418912637270062,0.1830327335173167,0.9090283283131212,0.7692106869246036,0.144699329738886,0.1876920025326694,0.9020940972638606
1,PABP_YEAST_Fields2013_doubles,mean,650M,2,675,0.7813461550055363,0.141716825992641,0.1828741665168589,0.9095126943835744,0.76878172554393,0.1461455835948938,0.1891457151789948,0.900808277622796
2,PABP_YEAST_Fields2013_doubles,mean,650M,3,662,0.7796197765011605,0.1424769940500867,0.1833789350003797,0.9082802766203968,0.7719819988317347,0.144859413059949,0.1887399008617519,0.9072592163322888
3,PABP_YEAST_Fields2013_doubles,mean,650M,4,668,0.7809961096179147,0.1420583289965853,0.183567108067005,0.908175591391556,0.7664200684126943,0.1467776301235873,0.1878775208032399,0.9065696627950154
4,PABP_YEAST_Fields2013_doubles,mean,650M,5,630,0.7779564112114075,0.1433959765426359,0.1847448605851451,0.9080016716342836,0.7667099050537389,0.1458013454946066,0.1881583180216383,0.901064316340046
0,RL401_YEAST_Bolon2013,mean,8M,1,19,0.2082940546813194,0.2366429520854222,0.2938589336777309,0.4768838986626697,0.1145636398280832,0.2781132730078978,0.3527358394816895,0.4860411502499666
1,RL401_YEAST_Bolon2013,mean,8M,2,22,0.2412015322425313,0.2414368977141498,0.2982391054509978,0.5155705287517706,0.211327986163811,0.2357874946284482,0.2956351400232163,0.4273822712398044
2,RL401_YEAST_Bolon2013,mean,8M,3,17,0.1937091041134959,0.2545479956013816,0.3121330725044074,0.4748041425787019,0.1649699292916822,0.2414526872853125,0.2813638757020657,0.4732025492405622
3,RL401_YEAST_Bolon2013,mean,8M,4,15,0.1854972091554786,0.2524887117235531,0.3105408088656373,0.458015532576089,0.1680115112218957,0.2431677601457111,0.2970649590357103,0.4185078706486775
4,RL401_YEAST_Bolon2013,mean,8M,5,12,0.1508580325016821,0.2521307914115957,0.3112363029602175,0.4557392035970025,0.1645848470284995,0.2599935081783726,0.3210388018179505,0.4484170052672401
0,RL401_YEAST_Bolon2014,mean,15B,1,63,0.514202212008491,0.2173321574812151,0.2868945739626464,0.676957252835139,0.4724975734022979,0.2197715125225146,0.2771711289074288,0.6499514534794799
1,RL401_YEAST_Bolon2014,mean,15B,2,62,0.5178036569573579,0.218079793136502,0.2844043301051618,0.6783578093617791,0.4269002004434441,0.2191450601296973,0.2948019825101369,0.5887827758339775
2,RL401_YEAST_Bolon2014,mean,15B,3,36,0.3960258649764722,0.2437628613822551,0.316281678336234,0.6295708151040357,0.3541723731195629,0.2463890254746746,0.3225242067995587,0.6111349403892034
3,RL401_YEAST_Bolon2014,mean,15B,4,82,0.5913978043942435,0.191308580303649,0.2549789394682054,0.7125999158952584,0.4833852193357003,0.2250731792765627,0.3107943985236715,0.6617899323417349
4,RL401_YEAST_Bolon2014,mean,15B,5,28,0.3734393828525296,0.2439684110277621,0.3181576131065223,0.6220202453652891,0.3496031132516495,0.2659804762448168,0.3387536270149241,0.6213554246235636
0,DLG4_RAT_Ranganathan2012,mean,650M,1,80,0.4688121937620835,0.1971976348458435,0.2873917309477007,0.6071717696895801,0.4305256577590537,0.2149957529215912,0.3110382663261836,0.6079913702894407
1,DLG4_RAT_Ranganathan2012,mean,650M,2,14,0.1609713403428094,0.2421096452364782,0.3587658780325992,0.4618307651491821,0.1555609886115616,0.262268957807302,0.3873144677320842,0.4608172274060658
2,DLG4_RAT_Ranganathan2012,mean,650M,3,39,0.2958722870861883,0.2330636395398438,0.3386562177701948,0.5371240671903902,0.3022381889118184,0.2286478936513121,0.3119492032811375,0.5167411756548576
3,DLG4_RAT_Ranganathan2012,mean,650M,4,25,0.2560635242061624,0.230079434009427,0.3379611468385542,0.505274189632311,0.1838756903034949,0.2573233835627452,0.3802806691830888,0.4686848906318585
4,DLG4_RAT_Ranganathan2012,mean,650M,5,154,0.6412591612103402,0.1690325076638581,0.2443953615510199,0.6865829948084375,0.4382748856364482,0.1803875848959931,0.2648788008250315,0.5746371934608141
0,RL401_YEAST_Bolon2013,mean,650M,1,94,0.6345936639536387,0.1433641706153089,0.1996388143858254,0.7926554215393928,0.569396720963898,0.1776753358883182,0.2459855400125599,0.7750803510306847
1,RL401_YEAST_Bolon2013,mean,650M,2,20,0.4308131968025315,0.1968922072713598,0.2583025993232247,0.6781536940332481,0.367969125103935,0.201995256064445,0.2646531005339383,0.5942255419965912
2,RL401_YEAST_Bolon2013,mean,650M,3,23,0.4239320963746749,0.2017276681632244,0.263833991981789,0.6729248247848687,0.4281999497894998,0.1876068073604989,0.2328302339382902,0.6709283544290849
3,RL401_YEAST_Bolon2013,mean,650M,4,25,0.459514046641671,0.192173517558375,0.252967423423548,0.6955644591872103,0.3811062364514904,0.1906009976929567,0.2562127990898535,0.6255281890357641
4,RL401_YEAST_Bolon2013,mean,650M,5,66,0.5634134373770185,0.1630148783666412,0.2231697245471418,0.7628445199236361,0.5270483605615296,0.1729193206926579,0.2415542701714668,0.7418528032455389
0,RASH_HUMAN_Kuriyan,mean,650M,1,171,0.5591838226927479,0.1467152534656191,0.2027221428858324,0.7812887380625206,0.5107086190631953,0.1559064156143456,0.2071482470275376,0.7214268890739071
1,RASH_HUMAN_Kuriyan,mean,650M,2,247,0.6327850676371571,0.1300459083911653,0.1841322950645617,0.8161540862534387,0.5904477314300878,0.1470816541176189,0.1934427385968125,0.7704796149036622
2,RASH_HUMAN_Kuriyan,mean,650M,3,190,0.5909138489452682,0.1432125026897659,0.1914419810966348,0.7855606953683647,0.4690027702241521,0.1507389853510554,0.2331198042679779,0.7433448754871856
3,RASH_HUMAN_Kuriyan,mean,650M,4,199,0.5899555524086172,0.140263574087505,0.1957820480424597,0.7926865435029873,0.5225339911650382,0.1532801028384044,0.2035334737193113,0.7253479368858424
4,RASH_HUMAN_Kuriyan,mean,650M,5,14,0.1756431669151635,0.2139433829694895,0.27549979414946,0.5113097972660328,0.1462503777455353,0.2149660612890098,0.2807637663788385,0.4556456456272834
0,DLG4_RAT_Ranganathan2012,mean,15B,1,192,0.6080258475558444,0.1653752329599484,0.2468760354568469,0.7018126796304385,0.539518812102282,0.1909664305352064,0.2796937025070525,0.6600345496228284
1,DLG4_RAT_Ranganathan2012,mean,15B,2,177,0.6087332004233823,0.1649704234448354,0.2449961343845318,0.7018265529861609,0.469504030883799,0.2058775336974335,0.3069874488554376,0.6293588997956904
2,DLG4_RAT_Ranganathan2012,mean,15B,3,210,0.639132983950225,0.162527091445557,0.2424414814970645,0.7206110186928153,0.5173887951207381,0.1872589776769587,0.259435249192427,0.60903528819195
3,DLG4_RAT_Ranganathan2012,mean,15B,4,93,0.4574013617134839,0.1944559404315557,0.2886278261521401,0.6206904398423929,0.4045022389027622,0.2137405380115394,0.3248374995509968,0.6280930162244598
4,DLG4_RAT_Ranganathan2012,mean,15B,5,269,0.7070516951061442,0.1503142399616076,0.2208503257175996,0.7419046680627582,0.4697648988473122,0.1746423282847053,0.2573472418877701,0.678381495570658
0,IF1_ECOLI,mean,150M,1,113,0.6919624259225435,0.1150997332352989,0.1582935178971368,0.6783079578034058,0.5340472523161199,0.1333472479676648,0.1818349371529072,0.6343796697892217
1,IF1_ECOLI,mean,150M,2,28,0.4068594741443437,0.1546180055180671,0.2162303478189381,0.5604674257984206,0.3999709891664573,0.1595841612522659,0.2208554425952845,0.5697821929293182
2,IF1_ECOLI,mean,150M,3,33,0.406882306550041,0.1507535966715631,0.212198404459112,0.5649401145532051,0.4333341392993066,0.1588110088463561,0.2284248724236325,0.5914134003663889
3,IF1_ECOLI,mean,150M,4,54,0.5474512719082506,0.1366132044470243,0.1912946538690323,0.6072252431146082,0.3727054811578798,0.1503236194378452,0.2142015103834699,0.573935951434805
4,IF1_ECOLI,mean,150M,5,75,0.6060283354574187,0.1274376100898057,0.177078570582178,0.6475344964020012,0.5900596213190811,0.1294535059363999,0.178994626020723,0.5816547955518594
0,RASH_HUMAN_Kuriyan,mean,15B,1,129,0.506466463360518,0.1599929838749958,0.2145017110592931,0.7530308355558372,0.4378737970132537,0.1705959579026469,0.222031398644674,0.6613897086880843
1,RASH_HUMAN_Kuriyan,mean,15B,2,156,0.5261747431181822,0.1537698329040447,0.2091601300626039,0.7624126292428034,0.4998431811501819,0.1698313776335017,0.2137720199933222,0.7405153552384024
2,RASH_HUMAN_Kuriyan,mean,15B,3,160,0.5538918099012977,0.152584785236191,0.1999170751908569,0.7678783927888609,0.4419867759046116,0.1630641205143208,0.238976550321593,0.7331770340770222
3,RASH_HUMAN_Kuriyan,mean,15B,4,159,0.5356493052289819,0.1537761511665496,0.2083437368387435,0.7695739891736353,0.5012417133849817,0.1592752617222096,0.2080221962904654,0.711224093076957
4,RASH_HUMAN_Kuriyan,mean,15B,5,198,0.5667095453878097,0.1481780163622632,0.1997345605683829,0.7805385297914804,0.5033411897865785,0.1566500940762858,0.2141434865830461,0.7500875674518857
0,PABP_YEAST_Fields2013_singles,mean,650M,1,271,0.8433361359467639,0.1096173948497391,0.1450186870711149,0.8875028020483905,0.6154395264874668,0.1716958987665734,0.2200378606310552,0.7960144888028421
1,PABP_YEAST_Fields2013_singles,mean,650M,2,279,0.8492738258907944,0.1094043818994575,0.1389700562124106,0.8844851501806685,0.6234521126946867,0.1721283782551967,0.2378130687481623,0.8000855424188452
2,PABP_YEAST_Fields2013_singles,mean,650M,3,261,0.8165041707390281,0.1155796624519634,0.1543360436160828,0.8809296144262561,0.6923433637725052,0.1677398353113607,0.2082040754926795,0.8048377471563609
3,PABP_YEAST_Fields2013_singles,mean,650M,4,243,0.8011950899374128,0.1252248948031785,0.1644299722834649,0.8762579535910792,0.7029623953259749,0.1472712480781539,0.1876552359830752,0.7568605215096122
4,PABP_YEAST_Fields2013_singles,mean,650M,5,59,0.529246235174919,0.2028028971025186,0.2518557686511411,0.7422427295690149,0.4956358784886598,0.2022151324294273,0.2494302752996194,0.6775694615971254
0,RASH_HUMAN_Kuriyan,mean,8M,1,7,0.1174626913855234,0.2253937538926734,0.2868395042347706,0.3935711869433936,0.0719782282269416,0.2285740959862515,0.2852834397130899,0.2611519493413592
1,RASH_HUMAN_Kuriyan,mean,8M,2,9,0.10149993362018,0.2245017544162821,0.288024118817998,0.3807276230380395,0.1333463754267966,0.2295384726909941,0.2813976996203401,0.4368097016796409
2,RASH_HUMAN_Kuriyan,mean,8M,3,7,0.1115082920170228,0.2260418761072874,0.2821346850122473,0.3816489602472326,0.0961546960065723,0.224006514318434,0.3041445894835274,0.3837178711118256
3,RASH_HUMAN_Kuriyan,mean,8M,4,185,0.5538595385876262,0.1446988043034683,0.2042176176790389,0.7523948131749961,0.4877288504033444,0.1632054805111979,0.2108213373737205,0.6683731775053311
4,RASH_HUMAN_Kuriyan,mean,8M,5,7,0.0983602278648875,0.2273165843830014,0.2881244992198987,0.3738237955455109,0.1042463055805568,0.2245969889033551,0.2875875635627771,0.41425266215204
0,TIM_THETH,mean,150M,1,85,0.5890559701019141,0.3130620079478586,0.3841252446450249,0.7689990332525238,0.5637155211310481,0.3383778313986191,0.4158408217084528,0.7614750640142048
1,TIM_THETH,mean,150M,2,103,0.6299820490457678,0.2981061565505696,0.3696359561852799,0.792003756129816,0.5257999163407021,0.3290252151624587,0.4117453534930325,0.7170809930335377
2,TIM_THETH,mean,150M,3,90,0.6346052043331916,0.2988446638523347,0.3692637467110267,0.7958094416353609,0.4526271075300976,0.3446314098183646,0.4319806587762361,0.6363000709044158
3,TIM_THETH,mean,150M,4,105,0.6181644262436594,0.3043576198195617,0.3764333277062459,0.7849291895388087,0.5510625273054635,0.3220421658739723,0.3978162670725159,0.7524850716305453
4,TIM_THETH,mean,150M,5,103,0.6260373441499935,0.296734180878186,0.3690131878873714,0.7829085225540346,0.5536549239173039,0.3388974576849684,0.4119546129970489,0.7629650687271585
0,RL401_YEAST_Bolon2014,mean,650M,1,152,0.7464066433495353,0.1499839299605698,0.2072829134075452,0.7448172397868379,0.6467830084901935,0.1620722980532496,0.2268070518109279,0.675614766934066
1,RL401_YEAST_Bolon2014,mean,650M,2,64,0.5703554164228131,0.2015819545303072,0.2684595875903203,0.6785910486935723,0.4778697896761461,0.2012187702481339,0.2813874232665443,0.6356323716198802
2,RL401_YEAST_Bolon2014,mean,650M,3,101,0.6759297504960216,0.1687107093855478,0.2316778137038282,0.7197589259496789,0.6040139377578755,0.1900761872259997,0.2525480132287228,0.702832761114333
3,RL401_YEAST_Bolon2014,mean,650M,4,164,0.7604102795181835,0.140357426654171,0.1952486559086148,0.7459985595224077,0.6220136807560125,0.1882828076542047,0.2658445796438688,0.7036991762315684
4,RL401_YEAST_Bolon2014,mean,650M,5,46,0.4977415121689768,0.2129753478624264,0.2848553728653719,0.6611481858184706,0.5087364771040559,0.2218582221689124,0.2944096128251111,0.643370478426852
0,PABP_YEAST_Fields2013_doubles,mean,15B,1,909,0.793617684132599,0.138100003500149,0.1779840295065771,0.9148322249809886,0.7818990153787801,0.1405258532984311,0.1824596064452928,0.9081248877484244
1,PABP_YEAST_Fields2013_doubles,mean,15B,2,840,0.7916405934082231,0.1385061333919497,0.1785173191695077,0.9144795362792224,0.7782755269565094,0.1431511110785178,0.1852218617754838,0.9047652872086528
2,PABP_YEAST_Fields2013_doubles,mean,15B,3,931,0.7973209544619042,0.1363529997492458,0.1758601996246239,0.9159842058464,0.7778972439980398,0.1419239986834215,0.1862756679000991,0.9104214670540128
3,PABP_YEAST_Fields2013_doubles,mean,15B,4,927,0.7960308407301171,0.1368578386298708,0.1771540984244277,0.9148452053273928,0.7772343762558567,0.1431408670117622,0.1834767944122621,0.9111747283479223
4,PABP_YEAST_Fields2013_doubles,mean,15B,5,1341,0.8086044958104988,0.1321672784211356,0.1715217158825067,0.9195665530580966,0.7868806645873877,0.1386108617645226,0.1798401676921935,0.9084028601723882
0,BLAT_ECOLX_Ranganathan2015,mean,150M,1,212,0.6890086943302384,0.5150248534823567,0.6414891486515365,0.8321022688174171,0.6527082142848591,0.5484350099645544,0.6812391767376389,0.8142658134608244
1,BLAT_ECOLX_Ranganathan2015,mean,150M,2,179,0.6720808145019229,0.5298395714038775,0.662158722812065,0.8241904642978722,0.6070559981361523,0.5716530113920427,0.7097050137750822,0.7944140800287048
2,BLAT_ECOLX_Ranganathan2015,mean,150M,3,215,0.6863368346399603,0.5158452515381331,0.64446983466851,0.8333368523165693,0.6432198307116221,0.5512375220499062,0.6896665008477908,0.8068799402673198
3,BLAT_ECOLX_Ranganathan2015,mean,150M,4,159,0.6437429821524805,0.5584805070847636,0.6890849935625,0.8125468366145085,0.6287050299361692,0.5570949167047281,0.694066671820935,0.7932655697741182
4,BLAT_ECOLX_Ranganathan2015,mean,150M,5,218,0.6905240237990693,0.5098241324384073,0.6373469185499359,0.833967465708499,0.653229464732876,0.551700869147344,0.6910245544223398,0.812976043541025
0,PABP_YEAST_Fields2013_singles,mean,15B,1,188,0.7589064251385952,0.1375954825739209,0.1799004999189693,0.8636326878928813,0.6446834269184286,0.1658065661587282,0.2115060644303293,0.7839704544852885
1,PABP_YEAST_Fields2013_singles,mean,15B,2,146,0.707288625784875,0.1563491149944322,0.1936630176437587,0.8211588385566466,0.5163189536485456,0.1960337173250184,0.2695287791568501,0.767840679247771
2,PABP_YEAST_Fields2013_singles,mean,15B,3,50,0.4422542994954608,0.2182378933623521,0.2690743995475281,0.7152637734855429,0.4043079492338752,0.2425709054418952,0.2897123340578738,0.7064773130878612
3,PABP_YEAST_Fields2013_singles,mean,15B,4,255,0.806083015607358,0.1209091225682075,0.1623960100785384,0.8876595304603802,0.6618240514449363,0.1597167778669107,0.2002287001770447,0.7704598681351966
4,PABP_YEAST_Fields2013_singles,mean,15B,5,245,0.8018503808452571,0.1232437005000278,0.1633998383844697,0.8832409882811533,0.6726392981366924,0.1548324052235327,0.2009510802380301,0.7641677138566217
0,BLAT_ECOLX_Ranganathan2015,mean,15B,1,203,0.6442405604716305,0.5679718720973838,0.6861094587418038,0.8292795773889247,0.6234832847848507,0.5853758693197516,0.7093237319860076,0.8072512166785489
1,BLAT_ECOLX_Ranganathan2015,mean,15B,2,235,0.6637291234772,0.5533442625404263,0.6705378833204345,0.8366953673940645,0.6559058571221068,0.543352910844399,0.6641270684265812,0.8330542722405334
2,BLAT_ECOLX_Ranganathan2015,mean,15B,3,262,0.6972029735188734,0.5172574088284599,0.6332083554996034,0.8517087451858935,0.6628943522198902,0.5473462375034726,0.6703811470280341,0.8323463453136409
3,BLAT_ECOLX_Ranganathan2015,mean,15B,4,222,0.6797040788008923,0.5367773020145038,0.6533814227294223,0.8447283425492593,0.5977279523310691,0.594370022650898,0.7224396703695039,0.800917679257476
4,BLAT_ECOLX_Ranganathan2015,mean,15B,5,224,0.6810781142237262,0.5304904052062256,0.6470004479496314,0.8450140943770675,0.6164079637704303,0.5966706777987626,0.7267870431242068,0.8107378010550366
