Unnamed: 0,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,Dataset
1,Lasso,2,0.9034615051879412,0.0464369165438988,0.0643285945515328,0.8968280799482051,0.0479207846237978,0.0658593349639393,0.9470275136506596,0.939869313933413,102,mean,SS H
2,Lasso,3,0.9030968738584798,0.0465385373174457,0.0642351732972886,0.8986643711911334,0.0475123962942639,0.0672392861754445,0.9463382760656228,0.9449421906668012,99,mean,SS H
3,Lasso,4,0.9029262655626196,0.0465707266585798,0.0645252796596544,0.9062131128456312,0.0456796288780666,0.0626289428514448,0.946615326076026,0.9431096770015128,101,mean,SS H
4,Lasso,5,0.9028758443051074,0.0465777867674338,0.0644835547373608,0.904080165000996,0.0462384813198634,0.0638671233041533,0.9460314641907432,0.9495212180304916,102,mean,SS H
5,Lasso,6,0.9028500940883208,0.0464828522179516,0.0643437801808688,0.905703224270251,0.0471283302015667,0.0646294294772313,0.9456375626346136,0.9524360689611912,104,mean,SS H
6,Lasso,7,0.9030600159030228,0.0465487078450965,0.0644522406667044,0.9010621327811236,0.0468698027026957,0.0645569359115536,0.946931691469037,0.9405569603300428,100,mean,SS H
7,Lasso,8,0.9036794810112851,0.0466099421188023,0.0642743119797417,0.8990117207141356,0.0456557611457222,0.0649874442465667,0.9460339423165768,0.9493068048198005,101,mean,SS H
8,Lasso,9,0.9030008441742284,0.0465249001178223,0.0644441118199919,0.8999941861217984,0.0474591952971349,0.0651821090646953,0.9463704748287896,0.9456380824102688,102,mean,SS H
9,Lasso,10,0.9027073495982996,0.0463943382045975,0.0643460840001048,0.9047414356044986,0.0482363020247256,0.0653461802299226,0.9464187823760164,0.9453876334188136,102,mean,SS H
0,Lasso,1,0.2944971351117273,0.1265876017583584,0.1740908208043314,0.2263530969369981,0.1281570157535339,0.1785423463534322,0.5550108562635964,0.4809700202667491,233,rbf1,SS H
1,Lasso,2,0.2893693837243001,0.126969439703782,0.1745322786022357,0.2735034338676039,0.1260468752616179,0.1747645598177397,0.5507776611562619,0.5372027252072096,236,rbf1,SS H
2,Lasso,3,0.2901091410568188,0.1263884480785546,0.173860049194395,0.2590584507665951,0.1327231630856654,0.1818167897687898,0.5506372568842935,0.5355603143417639,230,rbf1,SS H
3,Lasso,4,0.2900284606475924,0.1269996066994872,0.1745016334498149,0.269266766099567,0.1263964381445003,0.1748169142396936,0.5499926041357334,0.5426969197842455,239,rbf1,SS H
