,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method
41,POLG_HCVJF_Sun2014,Lasso,2,-3.774758283725532e-15,0.3520451415687866,0.403319443209176,-0.0007900758681682,0.344890887888198,0.4008516314675425,,,0,bos
42,POLG_HCVJF_Sun2014,Lasso,3,-9.547918011776346e-15,0.3535836218463275,0.4058898949875083,-0.0072219014102532,0.344954482769454,0.3905753573210817,,,0,bos
43,POLG_HCVJF_Sun2014,Lasso,4,-2.220446049250313e-16,0.3506584057677546,0.4042097686689166,-0.0002148214387682,0.3455972331558086,0.3972222262635388,,,0,bos
44,POLG_HCVJF_Sun2014,Lasso,5,-1.3544720900426911e-14,0.3461473173927314,0.3996970717407489,-0.0043939397650489,0.3575762756959401,0.4152724969891939,,,0,bos
45,POLG_HCVJF_Sun2014,Lasso,1,0.0,0.3472754201991878,0.4008508141340492,-0.0007211803225199,0.3576374138003212,0.4106148852073019,,,0,iDCT2
46,POLG_HCVJF_Sun2014,Lasso,2,0.0,0.3520451346631058,0.4033194432091753,-0.00079007233969,0.34489087974932,0.4008516307609026,,,0,iDCT2
47,POLG_HCVJF_Sun2014,Lasso,3,0.0,0.3535836109539527,0.4058898949875064,-0.0072218840855813,0.3449544697006427,0.3905753539620454,,,0,iDCT2
48,POLG_HCVJF_Sun2014,Lasso,4,0.0,0.3506584071931852,0.4042097686689165,-0.0002148210674479,0.345597234549275,0.3972222261898063,,,0,iDCT2
49,POLG_HCVJF_Sun2014,Lasso,5,0.0,0.3461473037868963,0.3996970717407462,-0.004393954522692,0.3575762656101979,0.4152725000400105,,,0,iDCT2
50,POLG_HCVJF_Sun2014,Lasso,1,-1.0658141036401504e-14,0.347275408392863,0.4008508141340513,-0.0007211857295323,0.3576374029892971,0.4106148863166018,,,0,maxPool
51,POLG_HCVJF_Sun2014,Lasso,2,-3.774758283725532e-15,0.3520451415687866,0.403319443209176,-0.0007900758681682,0.344890887888198,0.4008516314675425,,,0,maxPool
52,POLG_HCVJF_Sun2014,Lasso,3,-9.547918011776346e-15,0.3535836218463275,0.4058898949875083,-0.0072219014102532,0.344954482769454,0.3905753573210817,,,0,maxPool
53,POLG_HCVJF_Sun2014,Lasso,4,-2.220446049250313e-16,0.3506584057677546,0.4042097686689166,-0.0002148214387682,0.3455972331558086,0.3972222262635388,,,0,maxPool
54,POLG_HCVJF_Sun2014,Lasso,5,-1.3544720900426911e-14,0.3461473173927314,0.3996970717407489,-0.0043939397650489,0.3575762756959401,0.4152724969891939,,,0,maxPool
55,POLG_HCVJF_Sun2014,Lasso,1,0.0,0.3472754201991878,0.4008508141340492,-0.0007211803225199,0.3576374138003212,0.4106148852073019,,,0,iDCT1
56,POLG_HCVJF_Sun2014,Lasso,2,0.0,0.3520451346631058,0.4033194432091753,-0.00079007233969,0.34489087974932,0.4008516307609026,,,0,iDCT1
57,POLG_HCVJF_Sun2014,Lasso,3,0.0,0.3535836109539527,0.4058898949875064,-0.0072218840855813,0.3449544697006427,0.3905753539620454,,,0,iDCT1
58,POLG_HCVJF_Sun2014,Lasso,4,0.0,0.3506584071931852,0.4042097686689165,-0.0002148210674479,0.345597234549275,0.3972222261898063,,,0,iDCT1
