,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,ModelSize,parameters
136,PCP mW kDa,mean,esm2,2,441,0.8196985343368365,4.86182074695922,6.996905347049776,0.9435351264724772,0.8108865114407416,4.796757009249966,6.900063935857303,0.9415716504988878,35M,35000000.0
137,PCP mW kDa,mean,esm2,3,434,0.8194548550464963,4.808830166068704,6.957873200573151,0.944215282849866,0.8122993328236631,4.966347873384181,7.058948410656942,0.9397440864727306,35M,35000000.0
138,PCP mW kDa,mean,esm2,4,443,0.8191572897806936,4.797447438681205,6.945016063396938,0.9442905682688044,0.8134542264689537,4.936136956933709,7.110934281938234,0.940444846599443,35M,35000000.0
139,PCP mW kDa,mean,esm2,5,438,0.819697353809667,4.774713169658957,6.894016034468976,0.9443854550693545,0.8097956840045295,4.982204286477832,7.343101228521082,0.9431070128653808,35M,35000000.0
140,PCP Isoelectric point,mean,esm2,1,450,0.7849687378061366,0.6168438473276364,0.7946086014925596,0.9001276133111586,0.7699354461013413,0.6316812332586041,0.8174658298924674,0.8983769806335528,35M,35000000.0
141,PCP Isoelectric point,mean,esm2,2,452,0.7839661424000892,0.6152143574187744,0.7939038818750305,0.9016062829709542,0.7753269253594128,0.6371278369706946,0.8182738720436665,0.8976263287582233,35M,35000000.0
142,PCP Isoelectric point,mean,esm2,3,449,0.7840306599971442,0.6194073003783729,0.7959706594295161,0.901430776234508,0.7739909962221582,0.6284180956748582,0.8116834043477719,0.8995053966608817,35M,35000000.0
143,PCP Isoelectric point,mean,esm2,4,428,0.785723580195018,0.6140232583246074,0.7911432990009717,0.902910526285919,0.7663326012967818,0.6431570663600228,0.832460401067257,0.8904451888430185,35M,35000000.0
144,PCP Isoelectric point,mean,esm2,5,439,0.7838131674309177,0.6195220273965799,0.7974777346443979,0.9013847405673782,0.7721930685673623,0.6281645298353783,0.8102284772748981,0.8901806276554246,35M,35000000.0
145,PCP Instability index,mean,esm2,1,381,0.5353088814992526,5.750689627084079,7.492828977024074,0.7027781111207426,0.4949850963169303,5.986478536793814,7.918153947410886,0.6953618021089534,35M,35000000.0
146,PCP Instability index,mean,esm2,2,400,0.5304507153483998,5.7519919626327685,7.529224893401774,0.7049267063479232,0.515182939823895,5.960983769686437,7.768029683568323,0.6847834535472289,35M,35000000.0
147,PCP Instability index,mean,esm2,3,403,0.5290698788320122,5.767681633235823,7.535696875808123,0.7026784485757183,0.5201691659360299,5.9336192776217445,7.747019374100718,0.6943379966625601,35M,35000000.0
148,PCP Instability index,mean,esm2,4,395,0.5267634568102288,5.798658710868033,7.57275485805133,0.7013072081589127,0.5256153272598334,5.833994376005889,7.627900750262263,0.6966281949319972,35M,35000000.0
149,PCP Instability index,mean,esm2,5,413,0.537414119144459,5.797009854583049,7.576899832888173,0.7077564721213119,0.4853733422499173,5.816937577801068,7.557989812652255,0.6705723515820389,35M,35000000.0
150,SS H,mean,esm2,1,400,0.9198460054384278,0.0385845916004019,0.0554271319142619,0.950947895397224,0.916750958255304,0.0393841144003275,0.0557558831225369,0.9465001511897658,35M,35000000.0
151,SS H,mean,esm2,2,396,0.921251283182194,0.0385567633070047,0.054899881278812,0.9508808425455194,0.9107594899863096,0.0398018975511883,0.0578905824214795,0.946086469410328,35M,35000000.0
152,SS H,mean,esm2,3,405,0.9203929633812096,0.0384684476634977,0.0548948457698661,0.9507807159581788,0.914624217156184,0.0401593374765116,0.0578776965613741,0.9487871613793656,35M,35000000.0
153,SS H,mean,esm2,4,395,0.9190307899548592,0.0387494486244902,0.0556959094446683,0.9504133743170096,0.9200192784535016,0.0387611667274763,0.0546887334729591,0.948932723452235,35M,35000000.0
154,SS H,mean,esm2,5,396,0.9190569666030498,0.0386537173844832,0.0553783754877794,0.9500876768511572,0.9192550459643426,0.0393200053676031,0.0561888166586247,0.9510479627005828,35M,35000000.0
155,PCP length,mean,esm2,1,435,0.8231015946067965,43.093848876508886,62.031511404277005,0.9454077461170928,0.8003069316465276,44.949739355400304,65.52368323219814,0.9395479568877784,35M,35000000.0
156,PCP length,mean,esm2,2,444,0.8206681901442174,43.64852972896495,62.85721474143241,0.9443951379410008,0.8121543066718824,43.12691901402148,61.84430643843528,0.9425351140881496,35M,35000000.0
157,PCP length,mean,esm2,3,433,0.8204605786785845,43.18229810703616,62.49131906110775,0.9451277025538412,0.8135052093097216,44.53166231637066,63.319101243632254,0.9404257738649308,35M,35000000.0
158,PCP length,mean,esm2,4,444,0.820146580646291,43.075863189524505,62.34981168187347,0.9451420039515585,0.8146742313673279,44.29446891815929,63.901388470668486,0.9417003818590362,35M,35000000.0
159,PCP length,mean,esm2,5,439,0.8208988768560099,42.8358387718793,61.84633889823213,0.945306909121538,0.8101360236884043,44.77339576661959,66.17418170401551,0.94392530666327,35M,35000000.0
160,SS E,mean,esm2,1,406,0.8841689597513426,0.0352071553996161,0.0513591126688342,0.9428175786894624,0.8699341065027414,0.036648373941468,0.0537379430815426,0.9352390633944684,35M,35000000.0
161,SS E,mean,esm2,2,419,0.88332486747891,0.0354017590167657,0.0515238809838394,0.9423851913620088,0.8741037642577516,0.0362891508603762,0.0529605808268723,0.9368789015088044,35M,35000000.0
162,SS E,mean,esm2,3,404,0.8831730861799099,0.0351821235635612,0.0513958556613573,0.9422265368222116,0.874999274026707,0.0369836505057129,0.0534434836962383,0.9382423192733838,35M,35000000.0
163,SS E,mean,esm2,4,402,0.8811096034243423,0.0355907145134778,0.0518473436888291,0.9408583216083648,0.8831783178303529,0.0356522555455781,0.051667137755709,0.9437333866484195,35M,35000000.0
164,SS E,mean,esm2,5,401,0.8815278920887832,0.0355095915516179,0.0516820311685726,0.9413527122415256,0.8817228684836016,0.0355514704808503,0.0522802546128469,0.9416512479254204,35M,35000000.0
165,PCP AAfreq Cys,mean,esm2,1,453,0.8661958738167482,0.004482597903947,0.0059600082756268,0.8300656609571326,0.8491406855914139,0.0047317405293998,0.0063525996126643,0.8168455093772189,35M,35000000.0
166,PCP AAfreq Cys,mean,esm2,2,454,0.8655728943961776,0.0045280212206,0.0060430989726877,0.8273802269091538,0.850689767922084,0.0045645807061664,0.0060204580659301,0.8271897033478248,35M,35000000.0
167,PCP AAfreq Cys,mean,esm2,3,451,0.8612107079944329,0.0045045491119715,0.0059933423189449,0.8301998365358633,0.8678711986986909,0.0046179772777309,0.0062341085154182,0.827277055902922,35M,35000000.0
168,PCP AAfreq Cys,mean,esm2,4,460,0.8668792367904967,0.0045466372453177,0.006046836806742,0.8297288552490796,0.8435070755812534,0.0045303269072857,0.0060044037576728,0.8131970587202278,35M,35000000.0
169,PCP AAfreq Cys,mean,esm2,5,456,0.8628585402779251,0.0044696031403493,0.0059571792523031,0.8307753235000878,0.8620071122380599,0.0047309286409562,0.0063721128552157,0.8174987868173367,35M,35000000.0
170,SS Coil,mean,esm2,1,400,0.5882312188001697,0.0271327826248445,0.0403206775815088,0.7562588890598338,0.5947073052996692,0.0270990547785419,0.0376642644259794,0.7478377438238787,35M,35000000.0
171,SS Coil,mean,esm2,2,420,0.5913677643807993,0.0270037381872181,0.0398790346720536,0.7599044718934482,0.5850682165187873,0.0271777798421546,0.0393188120681083,0.7424548393721824,35M,35000000.0
172,SS Coil,mean,esm2,3,400,0.5995320554217504,0.0267001243121468,0.0388978951478529,0.7562093866561131,0.5513009655583907,0.0283192260214965,0.0433089916565596,0.7577076280829036,35M,35000000.0
173,SS Coil,mean,esm2,4,414,0.5979056173034363,0.0270382257087574,0.0395533079796409,0.7583476966064905,0.5474899255459591,0.0270211171300545,0.0410820642163078,0.7468025834277237,35M,35000000.0
174,SS Coil,mean,esm2,5,393,0.5907996490789105,0.0266800653533163,0.03935041677755,0.7618565319467199,0.5740149156305697,0.0281279075441128,0.0420709178132959,0.7421240949882275,35M,35000000.0
175,PCP AAfreq Leu,mean,esm2,1,448,0.9417273441321928,0.0053525007105249,0.0069851678119558,0.9658497887697844,0.9375239369536118,0.0054738006380359,0.0072048737197793,0.9644249556685224,35M,35000000.0
176,PCP AAfreq Leu,mean,esm2,2,441,0.942418458103364,0.0053160360486423,0.0069462600258781,0.966495653785251,0.9356168110114788,0.005563959713238,0.0073015085939557,0.962206668381835,35M,35000000.0
177,PCP AAfreq Leu,mean,esm2,3,440,0.9412544299075464,0.005350854830591,0.0070011511726351,0.9656240564328644,0.9413253662618262,0.0054142077609285,0.0070304344315313,0.9665633361352812,35M,35000000.0
178,PCP AAfreq Leu,mean,esm2,4,436,0.942570407850946,0.0053270382812803,0.0069616402067115,0.966601695764496,0.9349536546687964,0.0055115417833343,0.0072333107718511,0.9617620876210758,35M,35000000.0
179,PCP AAfreq Leu,mean,esm2,5,440,0.941617978872551,0.0053222160331224,0.0069470119577984,0.9660910482798388,0.9387966556641288,0.0055264349676818,0.0073119992422421,0.9640029215307512,35M,35000000.0
180,PCP Isoelectric point,mean,esm2,1,574,0.8183958223754353,0.5647056518455558,0.7302395944896285,0.9194049285743828,0.8040195789512733,0.5772789029229785,0.7544858433554916,0.9177372124894796,150M,150000000.0
181,PCP Isoelectric point,mean,esm2,2,576,0.8191341382273021,0.5608107643073967,0.7264158574526991,0.9213312779531176,0.8030087077322754,0.5888873970372323,0.7662080039578943,0.9151232307211012,150M,150000000.0
182,PCP Isoelectric point,mean,esm2,3,552,0.8176074513828654,0.5657462682008281,0.7314835345341684,0.9202791332473774,0.8085436085920071,0.5752789853095802,0.7470655854189963,0.9187002845402752,150M,150000000.0
183,PCP Isoelectric point,mean,esm2,4,576,0.8190423433211583,0.5609435382505313,0.7270368857683938,0.9215377157736506,0.804186819372072,0.5876785208064728,0.7620535365485547,0.912970550692832,150M,150000000.0
184,PCP Isoelectric point,mean,esm2,5,567,0.8188169005945138,0.5633396616479768,0.730067119952136,0.9211751833766884,0.8040978629792501,0.5827266393089335,0.7513523050034637,0.9091589246156584,150M,150000000.0
185,PCP Instability index,mean,esm2,1,496,0.5554191942953972,5.60089488091694,7.328903245335148,0.7180194841502588,0.5068770756639105,5.939988329222883,7.824371094299727,0.7004380146390258,150M,150000000.0
186,PCP Instability index,mean,esm2,2,498,0.5533601381077754,5.606261523030096,7.343251760891361,0.7208691697143053,0.5188705280499142,5.885886456282046,7.738430918014595,0.6902623841095091,150M,150000000.0
187,PCP Instability index,mean,esm2,3,511,0.5477100631622843,5.6366840938640514,7.385053545328773,0.7166073870495905,0.5409207389355006,5.760488883029394,7.57764757157225,0.7086279208940439,150M,150000000.0
188,PCP Instability index,mean,esm2,4,496,0.5488938622720068,5.647214306256934,7.393568989706728,0.7163745526869213,0.5367013508668448,5.726711919166313,7.538244617236046,0.7069209464369608,150M,150000000.0
189,PCP Instability index,mean,esm2,5,506,0.5561258500077839,5.657737469439726,7.422074104976419,0.720805318712334,0.5051403558856027,5.693806293167533,7.411415849883418,0.687773928278879,150M,150000000.0
190,SS Coil,mean,esm2,1,547,0.6325506979448716,0.0255793325662763,0.038089022449259,0.7846045438109039,0.6285001907770098,0.0261418396732891,0.036059890187504,0.7702682877678976,150M,150000000.0
191,SS Coil,mean,esm2,2,514,0.6309641133238983,0.0255834323513431,0.0378976801143257,0.7863069867857951,0.6262812541694927,0.0258451387514186,0.0373150886815539,0.7672135549091461,150M,150000000.0
192,SS Coil,mean,esm2,3,549,0.6438250584685141,0.0252074923592917,0.0366837650114081,0.7848502586585104,0.5833934015975202,0.0269396438810915,0.0417314598040918,0.7814935451636509,150M,150000000.0
193,SS Coil,mean,esm2,4,516,0.6392434103998862,0.02552682074664,0.0374650178835349,0.787343080417712,0.5872311363657066,0.0256627654866784,0.0392366206552353,0.7730560485327533,150M,150000000.0
194,SS Coil,mean,esm2,5,483,0.6316146753828842,0.0253129571325253,0.0373364049465159,0.7873108947139866,0.6113467536300876,0.0267118593263094,0.0401851820427853,0.7705600938830309,150M,150000000.0
195,PCP AAfreq Cys,mean,esm2,1,587,0.9055526079807072,0.0037500677081566,0.0050073401574215,0.881700222314167,0.8969725583916724,0.0038902683638626,0.0052497893399903,0.8780001050389072,150M,150000000.0
196,PCP AAfreq Cys,mean,esm2,2,570,0.9067050761932556,0.0037681660505599,0.0050343718501697,0.8810032697788733,0.8905773312310583,0.0038903697846944,0.0051539286494635,0.8747044334987545,150M,150000000.0
197,PCP AAfreq Cys,mean,esm2,3,570,0.9023731222682584,0.0037615596309611,0.0050266170924182,0.8820596980351235,0.9081112736189242,0.0038470710842776,0.0051988432850934,0.8744417644584905,150M,150000000.0
198,PCP AAfreq Cys,mean,esm2,4,578,0.9075883071526554,0.003771406172676,0.0050381235266026,0.8831207065494706,0.8866528282099262,0.0038443495112086,0.0051100821151855,0.8708459675707452,150M,150000000.0
199,PCP AAfreq Cys,mean,esm2,5,568,0.9038865326340988,0.0037241433226477,0.0049871037923818,0.8830150331781823,0.9009378830421916,0.0039753421953021,0.0053989450791052,0.8742440017726226,150M,150000000.0
200,PCP Charge,mean,esm2,1,570,0.7997365466232892,2.441138680030077,3.504905847023289,0.925391095895498,0.791604292202209,2.5364149406158334,3.620357971188671,0.9201514613819592,150M,150000000.0
201,PCP Charge,mean,esm2,2,568,0.8019440733785773,2.4484620781759263,3.490824470346827,0.9244351436196696,0.785537380088333,2.5398299709547945,3.651331349607679,0.9207596494388282,150M,150000000.0
202,PCP Charge,mean,esm2,3,560,0.8005034177898538,2.4549853441173823,3.508121239864457,0.9238892488672196,0.7901438671680219,2.493502204093744,3.5924674313293936,0.924119502761656,150M,150000000.0
203,PCP Charge,mean,esm2,4,567,0.8018915226617873,2.4387825757376924,3.4918436419584395,0.9258453427328628,0.7852139574275798,2.55289481252901,3.6517296433593343,0.9184428067704378,150M,150000000.0
204,PCP Charge,mean,esm2,5,571,0.8012221547198883,2.4489206059718915,3.515274396899686,0.9251604755096062,0.7872127968896708,2.4983433478089894,3.560021411617211,0.917783218874272,150M,150000000.0
205,SS E,mean,esm2,1,503,0.9131552569144062,0.0304634426286877,0.0444709903243739,0.9568645550847616,0.9038366019881268,0.0314320304533796,0.0462066225544135,0.9522654674133963,150M,150000000.0
206,SS E,mean,esm2,2,503,0.9127009171775428,0.0304549571412969,0.0445681141140536,0.9568184465438344,0.9056374771483838,0.0315952491026831,0.0458507177668125,0.9529328997123184,150M,150000000.0
207,SS E,mean,esm2,3,504,0.913385783608186,0.0303358540637858,0.0442538682932594,0.9570316403761088,0.9035428063940458,0.0319830405031863,0.0469467792473896,0.9524928257189864,150M,150000000.0
208,SS E,mean,esm2,4,511,0.9121774282897416,0.0305715962728165,0.0445611303050137,0.9563516376059928,0.9082975393410476,0.0310278572236704,0.0457765617670952,0.9542629904317526,150M,150000000.0
209,SS E,mean,esm2,5,500,0.9107521076989116,0.0306733033080441,0.0448570284134101,0.9555249669940532,0.9127135264174924,0.0310311530653059,0.0449118325820593,0.9573586679801532,150M,150000000.0
210,PCP Hydrophobicity,mean,esm2,1,501,0.9639811524147972,0.0419559850065081,0.0545956122775156,0.9771823524828184,0.9599936540025126,0.0427227185285114,0.0572956728908922,0.9742938182444252,150M,150000000.0
211,PCP Hydrophobicity,mean,esm2,2,505,0.9638827533661344,0.0419125466563204,0.0546910381026218,0.9769252367631164,0.960679128866595,0.0435161379346668,0.0566927143870774,0.9758787392438026,150M,150000000.0
212,PCP Hydrophobicity,mean,esm2,3,499,0.9639908191564932,0.0419746233556634,0.0547735460322051,0.9771360961562436,0.9600016257681928,0.0431847456102101,0.0564740887325184,0.9745005686796184,150M,150000000.0
213,PCP Hydrophobicity,mean,esm2,4,498,0.9633140279116263,0.0419583405027596,0.0548085166348573,0.9765796646065048,0.9631808999409308,0.0429463471570918,0.0561189151278358,0.9773595718106624,150M,150000000.0
214,PCP Hydrophobicity,mean,esm2,5,504,0.963885652759555,0.0417217641782537,0.0545161408618735,0.9770035727196822,0.9614175100398714,0.0434903791375861,0.0568928816775587,0.97519724905097,150M,150000000.0
215,PCP mW kDa,mean,esm2,1,548,0.8858448738790086,3.8500681987784655,5.532210545681369,0.9631142312020494,0.8712990025113159,4.0492640916381335,5.847621765146796,0.959347245260285,150M,150000000.0
216,PCP mW kDa,mean,esm2,2,548,0.8833687170451343,3.9147769836878656,5.627479178588185,0.9626095743269856,0.8822297541085742,3.85798609045628,5.445147552819299,0.9611097656079088,150M,150000000.0
217,PCP mW kDa,mean,esm2,3,545,0.8835913428849201,3.88545183330665,5.586968753140488,0.962669791748501,0.8819838493878678,3.945263257087345,5.597290175494512,0.9600178817120202,150M,150000000.0
218,PCP mW kDa,mean,esm2,4,546,0.8851315877830782,3.8376190405239545,5.535069266674026,0.9630152715602806,0.8756528034949174,4.051756281454758,5.805664795526551,0.960047837878204,150M,150000000.0
219,PCP mW kDa,mean,esm2,5,550,0.8850623717216988,3.819461882971525,5.504303274282935,0.9636112419973863,0.8753558067120089,4.0251332261096,5.944363475930046,0.962658204662296,150M,150000000.0
220,PCP AAfreq Leu,mean,esm2,1,534,0.9636905759597624,0.0042361469271937,0.0055138394708264,0.979249793353386,0.960658006844206,0.0043538940869033,0.005717388783379,0.9774301359130954,150M,150000000.0
221,PCP AAfreq Leu,mean,esm2,2,532,0.963845733672018,0.0042147213340471,0.0055041361500387,0.9793544094025188,0.9597854705314696,0.0044425340887567,0.005770558584351,0.9773451818385298,150M,150000000.0
222,PCP AAfreq Leu,mean,esm2,3,535,0.9636620553700022,0.0042291113061528,0.0055063279430657,0.9793144518755292,0.9616583516650344,0.0043301353046107,0.0056831923914417,0.9781420007074916,150M,150000000.0
223,PCP AAfreq Leu,mean,esm2,4,531,0.9636348869801544,0.0042508930336771,0.0055396991412943,0.9791622407602396,0.961114553635095,0.0043047487095085,0.005592670313917,0.9777432693133848,150M,150000000.0
224,PCP AAfreq Leu,mean,esm2,5,538,0.9634547842526388,0.0042165162155746,0.0054963420065256,0.979125245690549,0.9612617907797822,0.0044292304895754,0.0058172580724372,0.9784370081673798,150M,150000000.0
225,PCP AAfreq Ala,mean,esm2,1,515,0.9713074758531588,0.0047068867169419,0.0061195785324674,0.9837754051295384,0.9693103507700448,0.0048594530502319,0.0063196344265641,0.9826347313198136,150M,150000000.0
226,PCP AAfreq Ala,mean,esm2,2,512,0.9717353651786498,0.0046756612855133,0.0060708740950604,0.983935270386631,0.9671612354262727,0.0050579528763603,0.006551198847911,0.981421954459368,150M,150000000.0
227,PCP AAfreq Ala,mean,esm2,3,508,0.9711715717014364,0.0047298952937639,0.0061381121746701,0.9837931150628844,0.970472897050751,0.0047319341935197,0.0061831869068789,0.982911115159953,150M,150000000.0
228,PCP AAfreq Ala,mean,esm2,4,507,0.9712373024281208,0.0047245539217733,0.0061293512091006,0.9835676386145324,0.9700954950142194,0.0047591216607006,0.0062303282565833,0.9837359644907412,150M,150000000.0
229,PCP AAfreq Ala,mean,esm2,5,500,0.9714367189588092,0.004694501856646,0.0060946578076918,0.9839591014920416,0.9690527397252932,0.0048810819824703,0.0063933337199319,0.982292119431811,150M,150000000.0
230,PCP length,mean,esm2,1,552,0.8872523113140468,34.47472061328341,49.52269009304587,0.9636444239262524,0.8727537679414525,36.18312184307271,52.3045262245673,0.959935041934915,150M,150000000.0
231,PCP length,mean,esm2,2,554,0.8846557488066563,35.06024588863989,50.41089922051101,0.9631586680385772,0.8841366578496409,34.44427746576766,48.57045009684785,0.9617241743758232,150M,150000000.0
232,PCP length,mean,esm2,3,547,0.8849894183961233,34.788989658779386,50.01596830336856,0.9632727305140316,0.8834435760663256,35.30474762693417,50.05753922830516,0.9606891383691653,150M,150000000.0
233,PCP length,mean,esm2,4,545,0.8865409217014459,34.34532540498017,49.52168600849844,0.963583531991636,0.8769349764935028,36.27501553586261,52.07265354489997,0.9608408980483648,150M,150000000.0
234,PCP length,mean,esm2,5,553,0.886594462433943,34.146327999251554,49.213241572015136,0.9642358893669216,0.8762723402053653,36.11799270756573,53.41960752616688,0.9630722635903598,150M,150000000.0
235,SS H,mean,esm2,1,478,0.9382595396590616,0.0334354531643485,0.0486457331136538,0.9637347572567772,0.9328845389626022,0.0345261675213153,0.0500624807427591,0.9573940078270572,150M,150000000.0
236,SS H,mean,esm2,2,480,0.9382134384995732,0.0335660312506156,0.048629149696553,0.962648700930426,0.9337204355049722,0.0343342294198895,0.0498903694672646,0.96192367410261,150M,150000000.0
237,SS H,mean,esm2,3,483,0.9387668754088258,0.0332573148652617,0.0481447627611037,0.9631386698208824,0.9322568035005632,0.0353279310506536,0.0515557052032567,0.9615801528828865,150M,150000000.0
238,SS H,mean,esm2,4,470,0.9378216200188298,0.0336460689537877,0.048807105205087,0.9633240577418088,0.935045773929752,0.0340417104620142,0.0492843363797781,0.9584564196618424,150M,150000000.0
239,SS H,mean,esm2,5,490,0.9376070147766538,0.0335137948036754,0.0486203808402793,0.962574558172087,0.93617837081407,0.0342946574924966,0.0499546744710806,0.9636897333649146,150M,150000000.0
240,SS H,mean,esm2,1,999,0.9502244129983892,0.0299221219062684,0.0436785302570695,0.9711228071598732,0.9403333166106468,0.0320532031553258,0.0472027201508147,0.9642384329182836,650M,650000000.0
241,SS H,mean,esm2,2,1001,0.949500815480338,0.0301593413414314,0.0439634579809617,0.970021331939422,0.943923712176875,0.0313513832346367,0.0458898380665599,0.967945421677416,650M,650000000.0
242,SS H,mean,esm2,3,975,0.9502482958644656,0.0298792380782158,0.0433970112833283,0.9704031579082248,0.9408280650334696,0.0327633209924806,0.0481838806848546,0.9673679855115336,650M,650000000.0
243,SS H,mean,esm2,4,994,0.949413304331194,0.030076664277189,0.0440231895611823,0.9707299573709816,0.944512057812206,0.0314686027454734,0.0455516923161852,0.9653646098747548,650M,650000000.0
244,SS H,mean,esm2,5,993,0.9495071176718808,0.0299993281031742,0.0437386681984328,0.9703663255241504,0.943810990442242,0.032062479853805,0.0468724741808682,0.9671552135763948,650M,650000000.0
245,SS Coil,mean,esm2,1,906,0.6717812585483804,0.0239920701938633,0.0359983670801295,0.8107657160016687,0.645433439730604,0.0251267821682057,0.035228486836672,0.7818979180292733,650M,650000000.0
246,SS Coil,mean,esm2,2,858,0.6705804935075057,0.023972732272084,0.0358057670080852,0.8113049077301502,0.6497494301476525,0.0248330616909417,0.0361244681647727,0.786956324303716,650M,650000000.0
247,SS Coil,mean,esm2,3,883,0.6820745559713643,0.0236230783769721,0.0346581091558576,0.8100096903264933,0.6109451039621547,0.0259614550310361,0.0403279315604869,0.7978569516762108,650M,650000000.0
248,SS Coil,mean,esm2,4,905,0.6801493998869048,0.0239099777249432,0.0352770607389937,0.8124161108474721,0.612159624369877,0.0244920233559497,0.0380333552721399,0.7938470173593464,650M,650000000.0
249,SS Coil,mean,esm2,5,929,0.6755253419501994,0.0236098205785106,0.0350406157745799,0.8145654158885927,0.6374898805375357,0.0256778089574728,0.0388101085491161,0.7871378982382522,650M,650000000.0
250,SS E,mean,esm2,1,1007,0.9318164235198828,0.0268090686724834,0.0394044184555997,0.9663403123948536,0.9197764018707152,0.0287966964354981,0.0422036869554842,0.9602090781521152,650M,650000000.0
251,SS E,mean,esm2,2,1015,0.9308237631329036,0.0269223043373399,0.039673259546097,0.9660445323039022,0.9239681547000403,0.0284602354805817,0.0411570399527206,0.961802474836122,650M,650000000.0
252,SS E,mean,esm2,3,1019,0.9318765029465704,0.0268319434052938,0.0392468780299827,0.9662652678092326,0.9193182762287256,0.0287733250839002,0.0429364442961142,0.960418942750396,650M,650000000.0
253,SS E,mean,esm2,4,1008,0.931238502736308,0.0269619165107519,0.0394299099724588,0.9659573973297598,0.92214740519377,0.028200541442534,0.0421783145717311,0.9628191013990374,650M,650000000.0
254,SS E,mean,esm2,5,1013,0.9305882715741172,0.0268688336635239,0.0395592405269358,0.9654890737961402,0.9240572443327656,0.0284904668236171,0.0418919405247032,0.9633046131652412,650M,650000000.0
255,PCP AAfreq Cys,mean,esm2,1,1115,0.9068977498628256,0.0037726282201761,0.0049715544275347,0.8705134108510821,0.8893385114343794,0.004038019174172,0.0054408114130776,0.8606182494744169,650M,650000000.0
256,PCP AAfreq Cys,mean,esm2,2,1098,0.908514144838884,0.0037729371527047,0.0049853225134629,0.8707290481324158,0.8813862705465739,0.0040637227001352,0.0053660193092742,0.8524347028580747,650M,650000000.0
257,PCP AAfreq Cys,mean,esm2,3,1114,0.904376026741654,0.0037779360555316,0.0049747870616759,0.871339487890795,0.900814763775274,0.0040436341820113,0.0054013102795912,0.8550388354833159,650M,650000000.0
258,PCP AAfreq Cys,mean,esm2,4,1128,0.9087490807603352,0.0037866392033946,0.0050063818643744,0.8721034957743687,0.8790828926428826,0.0040225105462682,0.0052779638278205,0.8440577896253031,650M,650000000.0
259,PCP AAfreq Cys,mean,esm2,5,1111,0.9049922467187812,0.0037625642820011,0.0049583343469699,0.8718940469020693,0.8974297203656724,0.0040804746548419,0.0054937118565531,0.851335766467411,650M,650000000.0
260,PCP mW kDa,mean,esm2,1,1087,0.9030459397179352,3.4980418316598647,5.098401013142897,0.9647540717985652,0.8910284143708384,3.733476570850049,5.380776492133458,0.959979475210682,650M,650000000.0
261,PCP mW kDa,mean,esm2,2,1107,0.9034475484854162,3.5255841334122686,5.120212941228917,0.9646355975480688,0.8885110350518309,3.69311666864194,5.297949370071876,0.9592727351636184,650M,650000000.0
262,PCP mW kDa,mean,esm2,3,1093,0.9026321271749836,3.514255010984518,5.109653423458784,0.9647797704462504,0.8918852151782332,3.671654842755957,5.357345359361996,0.9588507894792616,650M,650000000.0
263,PCP mW kDa,mean,esm2,4,1091,0.903143379960296,3.491721132134784,5.082617247399205,0.9640904402999247,0.8908581666072054,3.739079155168169,5.439131772378985,0.9606183029184208,650M,650000000.0
264,PCP mW kDa,mean,esm2,5,1100,0.903924996472112,3.4508566778848104,5.032414944701387,0.9653649991329548,0.8860941357457117,3.8070349847835945,5.682538323133209,0.9594694934831908,650M,650000000.0
265,PCP length,mean,esm2,1,1090,0.90369014392113,31.411605646159337,45.77051202513869,0.9651702658200192,0.8918105168609799,33.51329770231134,48.229119144117966,0.9603447993941446,650M,650000000.0
266,PCP length,mean,esm2,2,1092,0.9041022098300068,31.65528023353496,45.96537072386352,0.965069608892429,0.8894957945630965,33.137104569978696,47.43386412708468,0.9598243563290022,650M,650000000.0
267,PCP length,mean,esm2,3,1103,0.9033241953820748,31.545433510884607,45.85626504900771,0.9652598765765978,0.8926981187413865,32.91075107623,48.02916731490702,0.9594009391760996,650M,650000000.0
268,PCP length,mean,esm2,4,1090,0.9038880972994914,31.33311498036589,45.57895712941276,0.9645566787855532,0.8915562161991549,33.548878639711496,48.88152212778027,0.9614313408557158,650M,650000000.0
269,PCP length,mean,esm2,5,1083,0.9046532868103866,30.93378618942501,45.12505087274906,0.965918466226957,0.8867255940142125,34.210372072523825,51.11321400407638,0.9600771428017372,650M,650000000.0
270,PCP AAfreq Ala,mean,esm2,1,951,0.97117197860948,0.0047181749918009,0.0061340110269636,0.9835253382217892,0.9653540069154376,0.0051107138629684,0.0067146364106231,0.9800932907308484,650M,650000000.0
271,PCP AAfreq Ala,mean,esm2,2,943,0.971040787464308,0.0047177957024179,0.0061450144831954,0.9834176371477548,0.9656959461201852,0.005076196002496,0.0066957634065103,0.9804033640736728,650M,650000000.0
272,PCP AAfreq Ala,mean,esm2,3,954,0.9708760221983452,0.004734452601948,0.0061694959545991,0.9833167563979416,0.9667515006984224,0.0050358078336142,0.0065612710553467,0.9809361794495004,650M,650000000.0
273,PCP AAfreq Ala,mean,esm2,4,945,0.970847686046423,0.0047206485204699,0.0061707253314008,0.9833259761249394,0.9674919123346936,0.0049963986078886,0.006495885049665,0.981244218527728,650M,650000000.0
