,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size,Dataset,ModelSize
1016,esm2,2,0.7433046686617762,0.1744901606951357,0.2276013335790303,0.7415399336461491,0.1745417074887383,0.227826575161284,0.8172283793555211,0.8153394735889195,418,496137,HIS7,650M
1017,esm2,3,0.7435755645893852,0.1743125943344345,0.2273029360370333,0.7404568702822392,0.1753183235708902,0.2290205123288926,0.8162316969965788,0.8183540181412086,427,496137,HIS7,650M
1018,esm2,4,0.7428117167563209,0.1744124689541895,0.2276317517048904,0.7439122127066391,0.1745905754508672,0.2275327467785551,0.8163435745823082,0.8178862229181423,423,496137,HIS7,650M
1019,esm2,5,0.7429353211511975,0.1745697648708317,0.2276088170177951,0.7425463163655319,0.1745447199403972,0.2280126003838425,0.816673820066321,0.8167079423498923,432,496137,HIS7,650M
1020,esm2,1,0.2384446615491972,0.3300594400000998,0.3725570939695657,-0.2373979419090386,0.4884207797512452,0.5162866103978223,0.5435780907870962,-0.0197027601559775,2,32,HIS7,3B
1021,esm2,2,-6.439293542825908e-15,0.4300866060180217,0.4499118270202464,-0.0459650782815739,0.4182396632574465,0.4376284709249048,,,0,32,HIS7,3B
1022,esm2,3,0.4442667559647368,0.3036290941079309,0.3372122937300449,-0.0652594955093095,0.4070546388564819,0.4353478013824705,0.612001586660814,0.2608969660436018,5,32,HIS7,3B
1023,esm2,4,0.4824662490982278,0.296040326121669,0.3200108272737897,-0.19027318500458,0.4348355034097792,0.4599387846782917,0.7654939894849402,0.0285714285714285,10,32,HIS7,3B
1024,esm2,5,0.6092508845516473,0.2516262247000754,0.2837411082091161,-0.0835195764060876,0.3853072391045591,0.4314806074411736,0.7760864387604047,0.0579771035652448,9,32,HIS7,3B
1025,esm2,1,0.4657541119442376,0.2703594398343743,0.3215243985258388,0.1764779443878027,0.3544419074606898,0.4142253394739332,0.7137996255134577,0.4724229473983603,15,100,HIS7,3B
1026,esm2,2,0.5419120622717812,0.2558302092334888,0.3024211066619026,-0.0755077511968953,0.3529506880935535,0.4445563271420013,0.6563313871198376,0.3136453641490033,19,100,HIS7,3B
1027,esm2,3,0.667761459398378,0.2075591290843162,0.259693796107143,0.2306356638074355,0.2431953877392144,0.3592944243795287,0.7823232305519435,0.6377403897661811,25,100,HIS7,3B
1028,esm2,4,0.4925372625231577,0.2610340679909487,0.3140681751526042,0.0737869682329369,0.3779502206569837,0.4355304000705142,0.7620290098278439,0.3406017056243017,18,100,HIS7,3B
1029,esm2,5,0.5298646845988721,0.2467092315578757,0.3001137460821799,0.3331506644090529,0.3083319011028944,0.3771146133532067,0.7285695395658898,0.5884617448289923,20,100,HIS7,3B
1030,esm2,1,0.8025246820585417,0.1655947723867149,0.2054393234095979,0.5537006343279682,0.2405933888385587,0.3046482821104601,0.835220915573586,0.6917127842040197,115,320,HIS7,3B
1031,esm2,2,0.8878167547679885,0.1187993701420876,0.1554628399432092,0.2799268743366767,0.2974699731275622,0.3826622132995096,0.8524272920778511,0.5384346835391295,144,320,HIS7,3B
1032,esm2,3,0.8045299053452141,0.1607810648620165,0.2049365935011967,0.4546934290067036,0.2615898953958633,0.3260021994639565,0.8465837573554479,0.5110691219107342,101,320,HIS7,3B
1033,esm2,4,0.740735253314825,0.1840327950988327,0.2321514434207822,0.4607315283430711,0.2659096995376443,0.3404791923678305,0.7650479550700732,0.7277144475849308,75,320,HIS7,3B
1034,esm2,5,0.7741461613800166,0.1697793166681564,0.2186987681362465,0.5181238593383384,0.2603860232729426,0.3234984328361798,0.814968841737837,0.7213312297076193,87,320,HIS7,3B
1035,esm2,1,0.8167649319189828,0.150243871906476,0.1925916545015538,0.607037491571119,0.2096472752751285,0.2866486885723791,0.8296032673526292,0.7742232355551072,234,1000,HIS7,3B
1036,esm2,2,0.8304971957891815,0.1429658369573243,0.18611549779469,0.6188860861796014,0.2152233092259848,0.2769814360559332,0.8355322667601669,0.7504213988993396,242,1000,HIS7,3B
1037,esm2,3,0.7806523926997322,0.1629659362820902,0.2125050783037922,0.6570728159361628,0.1947003723820984,0.255990688585367,0.8337885123261879,0.6969154111830322,169,1000,HIS7,3B
1038,esm2,4,0.7641767387801459,0.1687623343675389,0.2195002804794334,0.6888997597863351,0.1984539443638724,0.2500671759788923,0.8062582057683417,0.7541524439972123,163,1000,HIS7,3B
1039,esm2,5,0.8002809764370792,0.1517016946890884,0.2008726854576498,0.5955102113507298,0.2275472484266988,0.2905941869413962,0.8224958805391176,0.7351962872702731,197,1000,HIS7,3B
1040,esm2,1,0.8353458230137685,0.1409885513749105,0.1838920802923422,0.6815931475519741,0.1859310739487673,0.2512731937908659,0.8387881004938446,0.7843182922233228,536,3200,HIS7,3B
1041,esm2,2,0.7748053046501727,0.1647209673073891,0.2140749160493163,0.7263421696654736,0.183213200220251,0.237304552570175,0.8176127042005058,0.7947535819877193,269,3200,HIS7,3B
1042,esm2,3,0.8113534917830101,0.1513207308463747,0.1961868065434633,0.7035892923110897,0.1763966901042523,0.2457499554508087,0.8343016448748161,0.7924145192608164,425,3200,HIS7,3B
1043,esm2,4,0.8409382445712077,0.137631787989103,0.1802329698068859,0.7310419815932154,0.1734969265615211,0.2336849930533518,0.8443223458988548,0.7899708263704149,614,3200,HIS7,3B
1044,esm2,5,0.8169562765825068,0.1467444390174273,0.1926544219665982,0.7416935249049126,0.1784103643654665,0.2320973338582392,0.8314011893597567,0.8164027794945005,483,3200,HIS7,3B
1045,esm2,1,0.800969493753946,0.152148718937628,0.1999372668660909,0.7365581086669744,0.1728957851751059,0.2325914028579198,0.8344702996406286,0.8099211220771033,730,10000,HIS7,3B
1046,esm2,2,0.7987442669725241,0.1535302548211058,0.2016250183433154,0.7430190087276862,0.1712586128726256,0.227243220855882,0.8331187764728647,0.8149641685754839,726,10000,HIS7,3B
1047,esm2,3,0.7965202812759182,0.1544721841462885,0.202702579142058,0.7129695431820045,0.1726144774494284,0.2403336363148309,0.8350835256464199,0.8139708298934232,752,10000,HIS7,3B
