,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,param,datse_size
1434,DLG4 RAT,Lasso,5,0.6252420340823794,0.1730232883218541,0.2497916898050712,0.4356953225146842,0.1791015944516512,0.2654862945369787,0.6785482883639329,0.6044790611340395,85,mean,150M,1659
1885,TIM THETH,Lasso,1,0.5890555695741897,0.3130620939943994,0.3841254318393403,0.5637132252176759,0.3383790440786452,0.415841915872116,0.7689980163102488,0.7614750640142048,85,mean,150M,1519
1886,TIM THETH,Lasso,2,0.6299800663464459,0.2981070768659078,0.3696369465101764,0.5258000690784181,0.3290259362021994,0.411745287182363,0.791999393982689,0.7170809930335377,103,mean,150M,1519
1887,TIM THETH,Lasso,3,0.6346053299398037,0.2988447990543109,0.3692636832427278,0.452626505261819,0.3446313678598318,0.4319808964279171,0.7958082775040237,0.6363000709044158,90,mean,150M,1519
1888,TIM THETH,Lasso,4,0.618163123956535,0.3043582065083255,0.3764339696368196,0.5510642864463208,0.3220411645551536,0.3978154876593713,0.7849326953135523,0.7524850716305453,105,mean,150M,1519
1889,TIM THETH,Lasso,5,0.6260371930010911,0.2967343393500746,0.3690132624615726,0.5536581400091725,0.3388956016789504,0.4119531288468492,0.7829063221919739,0.7629650687271585,103,mean,150M,1519
2245,RASH HUMAN,Lasso,1,0.5668801418682268,0.1441541733216959,0.2009446622210234,0.5289924056671185,0.1529538587501977,0.2032410521295803,0.7673469542900822,0.7050971090025198,129,mean,150M,3134
2246,RASH HUMAN,Lasso,2,0.5655099909363868,0.143332369680241,0.2002901985539251,0.5533715315666726,0.1518981797845069,0.2020091144945035,0.7669215131749028,0.728100488887119,141,mean,150M,3134
2247,RASH HUMAN,Lasso,3,0.5819305293174084,0.1442997205551095,0.1935325497591523,0.4546200429901462,0.155710940998478,0.2362558814286838,0.7588358297154028,0.7190400944689089,127,mean,150M,3134
2248,RASH HUMAN,Lasso,4,0.5370967902991532,0.1488425233853756,0.2080187563469275,0.5147724713096744,0.1575127730029339,0.2051810893018256,0.746477868322824,0.7117024548732878,116,mean,150M,3134
2249,RASH HUMAN,Lasso,5,0.4483397240873458,0.1664371731573657,0.2253717690874496,0.4218296112191827,0.167184564908737,0.231048801531977,0.6821764727047442,0.6894734518550224,56,mean,150M,3134
