,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method,Dataset,Dataset_Name,ModelSize,parameters,dataset_size,group,prot_length
1596,esmc,2,0.677673582732754,0.5240486074578449,0.6564877727928696,0.6642532867354993,0.5292068712683422,0.6560220340010093,0.837311114339692,0.8326776917197758,118,mean,BLAT_ECOLX_Ranganathan2015,BLAT ECOLX 2015,600M,600000000.0,4996,Growth,286
1597,esmc,3,0.6887554206132414,0.5123231753482003,0.6419803455886077,0.6493307903726331,0.533961184026986,0.6837346590085547,0.8418443336087307,0.8270881703346632,131,mean,BLAT_ECOLX_Ranganathan2015,BLAT ECOLX 2015,600M,600000000.0,4996,Growth,286
1598,esmc,4,0.6688736605717768,0.5326742493236387,0.6643362369714971,0.6650620406415509,0.5370527362719596,0.6592100848055046,0.834251330264845,0.8268725318504877,114,mean,BLAT_ECOLX_Ranganathan2015,BLAT ECOLX 2015,600M,600000000.0,4996,Growth,286
1599,esmc,5,0.6306532267248017,0.5609486890991652,0.6962730317401846,0.626598582920562,0.5774486011092616,0.7170680396921018,0.8103414270917502,0.8096457298982347,75,mean,BLAT_ECOLX_Ranganathan2015,BLAT ECOLX 2015,600M,600000000.0,4996,Growth,286
1600,esmc,1,0.5591832494117545,2.793986230295572,3.497143261838812,0.333473501688027,3.5293319062907327,4.376485910280951,0.7767744659325581,0.6355416954168136,97,mean,GAL4_YEAST_Shendure2015,GAL4 YEAST,600M,600000000.0,1195,Growth,881
1601,esmc,2,0.5013787755922166,3.02719064535955,3.741062711049966,0.3896643727100468,3.393059690068457,4.101495321685445,0.7392297352845766,0.6895094070390893,73,mean,GAL4_YEAST_Shendure2015,GAL4 YEAST,600M,600000000.0,1195,Growth,881
1602,esmc,3,0.4623676568438993,3.195900235076329,3.8891862716694257,0.4095790526126479,3.270995818660848,4.027282273989495,0.7143805329088198,0.6932069775589766,57,mean,GAL4_YEAST_Shendure2015,GAL4 YEAST,600M,600000000.0,1195,Growth,881
1603,esmc,4,0.4498212311157272,3.2093716091690703,3.918445342316419,0.3584999651517645,3.5070191554943384,4.267485375914383,0.7118368734508084,0.6319876673937022,59,mean,GAL4_YEAST_Shendure2015,GAL4 YEAST,600M,600000000.0,1195,Growth,881
1604,esmc,5,0.4945758136922348,3.0834843135179337,3.7713791320627417,0.4092052340672601,3.2109038350572146,4.027360600414388,0.7402907558068864,0.6673254898729531,71,mean,GAL4_YEAST_Shendure2015,GAL4 YEAST,600M,600000000.0,1195,Growth,881
1605,esmc,1,0.7433361242073597,0.1005689500014796,0.1444919518523814,0.551145541147823,0.1185606823002251,0.178467509903794,0.7390855192470115,0.7150355794625886,90,mean,IF1_ECOLI,IF1 ECOLI,600M,600000000.0,1439,Growth,72
