Epoch,step,train_loss,train_r2,val_loss,val_r2,Model,Dataset_Name,ModelSize
17,2583,0.1997220069169998,0.4682813286781311,0.1612953394651413,0.5222931504249573,esm2_35M,TIM THEMA,35M
26,8137,0.0308586973696947,0.6689975261688232,0.0293326657265424,0.6657757759094238,esm2_35M,RASH HUMAN,35M
2,517,0.2946286201477051,-0.0563675165176391,0.2582598030567169,-0.0011011362075805,esm2_35M,PA FLU,35M
13,5173,0.0831054002046585,0.4075694680213928,0.0786240622401237,0.4558693170547485,esm2_35M,TPMT HUMAN,35M
8,1439,0.1106773167848587,0.2113827466964721,0.1148222386837005,0.2309625148773193,esm2_35M,SUMO1 HUMAN,35M
32,21023,0.0666760504245758,0.5306364297866821,0.072451576590538,0.5198732614517212,esm2_35M,AMIE PSEAE,35M
39,21332,0.0679740235209465,0.6682825088500977,0.0743462741374969,0.6505114436149597,esm2_35M,BLAT ECOLX 2014,35M
14,2491,0.1348019242286682,-0.003041386604309,0.1278231739997863,0.0464061498641967,esm2_35M,MTH3 HAEAESTABILIZED,35M
36,29987,0.1657113134860992,0.3781809210777282,0.1453883647918701,0.4542703032493591,esm2_35M,B3VI55 LIPSTSTABLE,35M
36,18935,1.0753675699234009,0.5832344889640808,1.1186953783035278,0.5552589893341064,esm2_35M,BLAT ECOLX 2012,35M
10,9189,0.0013989831786602,0.9323235750198364,0.0007649140316061,0.9539167881011964,esm2_35M,parEparD all,35M
12,4103,0.2776566743850708,0.0342601537704467,0.267023891210556,0.0382775068283081,esm2_35M,TPK1 HUMAN,35M
11,1825,0.0988572239875793,0.3638224601745605,0.0874642506241798,0.4899676442146301,esm2_35M,DLG4 RAT,35M
20,2639,0.0167081449180841,0.5205621719360352,0.0158345811069011,0.549960732460022,esm2_35M,RL401 2016,35M
24,3647,0.1510502398014068,0.5923975706100464,0.1788565665483474,0.5223431587219238,esm2_35M,TIM SULSO,35M
17,8482,0.5773705840110779,0.5637859106063843,0.5224807262420654,0.6090101599693298,esm2_35M,BLAT ECOLX 2015,35M
19,8625,0.0390146821737289,0.6835963726043701,0.0406967923045158,0.660277783870697,esm2_35M,HSP82 YEAST,35M
20,3599,0.0660508796572685,0.529362678527832,0.0883514881134033,0.4082539677619934,esm2_150M,SUMO1 HUMAN,150M
14,12865,0.0010103036183863,0.951125979423523,0.0006642426596954,0.9599818587303162,esm2_150M,parEparD all,150M
24,19991,0.0885242372751236,0.6678248643875122,0.1333604902029037,0.4994180798530578,esm2_150M,B3VI55 LIPSTSTABLE,150M
12,7883,0.0883187502622604,0.3783532381057739,0.0849121958017349,0.4372984766960144,esm2_150M,AMIE PSEAE,150M
8,5447,1.229966163635254,0.0552611351013183,1.2057281732559204,0.0737201571464538,esm2_150M,MK01 HUMAN,150M
12,1823,0.1862422227859497,0.4977467656135559,0.1564956754446029,0.5820605158805847,esm2_150M,TIM SULSO,150M
21,16946,0.0800893083214759,0.2363415956497192,0.0842881500720977,0.1921384930610656,esm2_150M,B3VI55 LIPST,150M
4,1399,0.8101258873939514,-0.0224199295043945,0.7181882858276367,0.001343548297882,esm2_150M,BG STRSQ,150M
27,30455,0.7841370701789856,0.531279444694519,0.7328935861587524,0.5831562280654907,esm2_150M,HG FLU,150M
10,5259,1.132559299468994,0.5608874559402466,1.1611011028289795,0.538400411605835,esm2_150M,BLAT ECOLX 2012,150M
16,7263,0.0202177744358778,0.8359155654907227,0.0314078591763973,0.7378184795379639,esm2_150M,HSP82 YEAST,150M
1,177,0.1839963048696518,-0.3695415258407593,0.1346524804830551,-0.0045423507690429,esm2_150M,MTH3 HAEAESTABILIZED,150M
14,7307,0.5059987902641296,0.4390091896057129,0.4696708023548126,0.4513341784477234,esm2_150M,KKA2 KLEPN,150M
12,2351,0.1275398135185241,-0.0089867115020751,0.123866394162178,0.0728628635406494,esm2_150M,CALM1 HUMAN,150M
1,98,4.032900810241699,-0.0514410734176635,3.751187324523926,0.0004782080650329,esm2_150M,BLAT ECOLX 2013,150M
22,3651,0.0444199964404106,0.714164674282074,0.0446678474545478,0.7395273447036743,esm2_150M,DLG4 RAT,150M
12,1823,0.2391933649778366,0.3631582260131836,0.1615122407674789,0.5216507911682129,esm2_150M,TIM THEMA,150M
